analyte,curve,technique,sweep,n_components,score_trend_degree_effective,component,explained_variance_ratio,score_trend_coefficients_desc,equation
DA,cv_gc_anodic,cv_gc,anodic,2,3,1,0.999823568768,0.0136537717369;-2.46124295243;113.040695098;-723.320501488,"current(V,c)=mean_curve(V)+sum_j(polyval(score_coefficients_j,c)*loading_j(V))"
DA,cv_gc_anodic,cv_gc,anodic,2,3,2,0.000100917183784,5.5301640875e-05;-0.00669035960719;0.294108778517;-4.99786059988,"current(V,c)=mean_curve(V)+sum_j(polyval(score_coefficients_j,c)*loading_j(V))"
DA,cv_gc_cathodic,cv_gc,cathodic,2,3,1,0.999849104479,-0.0136649577013;2.46424806066;-113.151974339;722.342402603,"current(V,c)=mean_curve(V)+sum_j(polyval(score_coefficients_j,c)*loading_j(V))"
DA,cv_gc_cathodic,cv_gc,cathodic,2,3,2,7.86230923913e-05,0.00010661116053;-0.0136774784404;0.461495152739;-4.68963816789,"current(V,c)=mean_curve(V)+sum_j(polyval(score_coefficients_j,c)*loading_j(V))"
DA,cv_normal_anodic,cv_normal,anodic,2,3,1,0.749297233089,7.76412034844e-05;-0.0150921437284;0.917109337717;-10.1908142196,"current(V,c)=mean_curve(V)+sum_j(polyval(score_coefficients_j,c)*loading_j(V))"
DA,cv_normal_anodic,cv_normal,anodic,2,3,2,0.240491913374,-7.26183171823e-05;0.0134067669114;-0.564694774156;2.03394052867,"current(V,c)=mean_curve(V)+sum_j(polyval(score_coefficients_j,c)*loading_j(V))"
DA,cv_normal_cathodic,cv_normal,cathodic,2,3,1,0.719011718439,2.53695760278e-05;-0.00489600309316;0.393970513109;-6.31439584155,"current(V,c)=mean_curve(V)+sum_j(polyval(score_coefficients_j,c)*loading_j(V))"
DA,cv_normal_cathodic,cv_normal,cathodic,2,3,2,0.268275620689,-5.03166030635e-05;0.00993160760002;-0.487166258055;2.97198103322,"current(V,c)=mean_curve(V)+sum_j(polyval(score_coefficients_j,c)*loading_j(V))"
AA,cv_gc_anodic,cv_gc,anodic,1,3,1,0.998933899227,1.80601218339e-07;-8.32881607616e-05;0.112303910657;-18.5765281596,"current(V,c)=mean_curve(V)+sum_j(polyval(score_coefficients_j,c)*loading_j(V))"
AA,cv_gc_cathodic,cv_gc,cathodic,1,3,1,0.998127334223,1.43055136278e-07;-6.89498087349e-05;0.0662337275138;-10.5817935934,"current(V,c)=mean_curve(V)+sum_j(polyval(score_coefficients_j,c)*loading_j(V))"
