analyte,setup_id,method,n_components,requested_n_components,score_trend_degree,score_trend_degree_effective,smooth_window,smooth_polyorder,grid_points,scope,technique,sweep,electrode,n_concentrations,n_voltages,cumulative_explained_variance_ratio,avg_abs_pc_pearson,avg_abs_pc_spearman,avg_pc_trend_r2,pc_pearson_r,pc_spearman_r,pc_trend_r2,pc_explained_variance_ratio,rmse_uA,mae_uA,max_abs_residual_uA,normalized_rmse,r2,condition_codes,concentration_values_uM,per_condition_rmse_uA,per_condition_mae_uA,per_condition_r2
UA,1,pcr,1,1,1,1,0,0,0,electrode,cv_gc,anodic,E1,4,1001,0.940705199981,0.474459586225,0.8,0.225111898961,0.474459586225,0.8,0.225111898961,0.940705199981,0.562865631314,0.316139918118,1.79776922964,0.12469607907,0.672033807953,101;201;301;401,0;100;200;400,0.461433049768;0.158451735646;0.902026766335;0.464317969206,0.299073042215;0.0628620959745;0.587308737225;0.315315797059,0.393929532581;0.922608215068;0.608647588367;0.578811046667
UA,1,pcr,1,1,1,1,0,0,0,electrode,cv_gc,anodic,E3,4,1001,0.999933319774,0.102484866348,0.8,0.0105031478303,0.102484866348,0.8,0.0105031478303,0.999933319774,43.0349585454,37.065339118,74.8892662278,0.424221702955,0.0110921303269,101;201;301;401,0;100;200;400,20.028796147;22.7582700387;74.1804029478;31.4039315415,20.0103434274;22.742400512;74.130678236;31.3779342966,-889.748917802;-1948.66557688;-409.486349064;-1128.99057213
UA,1,pcr,1,1,1,1,0,0,0,electrode,cv_gc,anodic,E5,4,1001,0.940495989729,0.696140540721,0.8,0.484611652435,0.696140540721,0.8,0.484611652435,0.940495989729,0.461593415433,0.261661807903,1.47451757085,0.0909382405945,0.78848222936,101;201;301;401,0;100;200;400,0.35278329846;0.225397302277;0.741922508039;0.35575963403,0.2237393041;0.108670345651;0.4798161628;0.234421419059,0.724432276045;0.801790997081;0.702943650666;0.861095912065
UA,1,pcr,1,1,1,1,0,0,0,electrode,cv_gc,anodic,E7,4,1001,0.906856209966,0.581732645521,0.8,0.338412870864,0.581732645521,0.8,0.338412870864,0.906856209966,0.504860884466,0.288158311847,1.65499058634,0.0951616090449,0.715281653936,101;201;301;401,0;100;200;400,0.413127159194;0.230130836459;0.795802578547;0.403239451295,0.262888302774;0.0993249623416;0.516211310182;0.274208672092,0.658925110628;0.774332729544;0.640318652185;0.720741815088
UA,1,pcr,1,1,1,1,0,0,0,electrode,cv_gc,cathodic,E1,4,1000,0.891659409919,0.491511100534,0.8,0.241583161948,0.491511100534,0.8,0.241583161948,0.891659409919,0.356086503218,0.201499814213,1.3101109572,0.0788866619149,0.722299816842,101;201;301;401,0;100;200;400,0.288537945725;0.144071840364;0.563034488436;0.293550190969,0.190232335213;0.0638739348285;0.362496318607;0.189396668204,0.702799917127;0.862006710659;0.658392609945;0.618459009397
UA,1,pcr,1,1,1,1,0,0,0,electrode,cv_gc,cathodic,E3,4,1000,0.999972510035,0.100770944726,0.8,0.0101547833009,0.100770944726,0.8,0.0101547833009,0.999972510035,43.2208566361,37.2456676569,74.9528368876,0.426015577905,0.0103191592682,101;201;301;401,0;100;200;400,20.0738093822;22.9074896743;74.502350343;31.5255242701,20.0681477758;22.9039494449;74.4913353138;31.5192380931,-1133.1312877;-4254.89661982;-1949.39883129;-2681.07788236
UA,1,pcr,1,1,1,1,0,0,0,electrode,cv_gc,cathodic,E5,4,1000,0.887204501781,0.651461364812,0.8,0.424401909843,0.651461364812,0.8,0.424401909843,0.887204501781,0.312667658394,0.176560436943,1.38610486431,0.0612653391583,0.795431370365,101;201;301;401,0;100;200;400,0.239947678722;0.19953308339;0.490388415537;0.230597312297,0.141022517902;0.101971422638;0.315200312909;0.148047494323,0.834095372206;0.679458032042;0.717220487261;0.855576239301
UA,1,pcr,1,1,1,1,0,0,0,electrode,cv_gc,cathodic,E7,4,1000,0.823582827279,0.60830052261,0.8,0.370029525807,0.60830052261,0.8,0.370029525807,0.823582827279,0.311363362225,0.174286394313,1.63288929226,0.0582172582363,0.766442947686,101;201;301;401,0;100;200;400,0.266126746887;0.198082086633;0.467284048534;0.243668284512,0.156522957875;0.0821544544813;0.297613407683;0.160854757213,0.812963802698;0.650011302239;0.708370516855;0.755415916154
UA,1,pcr,1,1,1,1,0,0,0,electrode,cv_normal,anodic,E1,4,1001,0.905494518956,0.596127871421,0.8,0.355368439085,0.596127871421,0.8,0.355368439085,0.905494518956,0.383233454308,0.216140830233,1.50527506943,0.0864403866714,0.737555436225,101;201;301;401,0;100;200;400,0.334125951261;0.154695627327;0.590661775782;0.32096619793,0.206207339061;0.0544946164893;0.381926946602;0.221934418779,0.690981669021;0.876077312389;0.666701543611;0.717449640167
UA,1,pcr,1,1,1,1,0,0,0,electrode,cv_normal,anodic,E3,4,1001,0.871202687562,0.614450705034,0.8,0.377549668916,0.614450705034,0.8,0.377549668916,0.871202687562,0.469453932733,0.28833164007,1.95993003001,0.0900942162729,0.702797506203,101;201;301;401,0;100;200;400,0.380471458354;0.252218575933;0.729350714057;0.375796188209,0.229933845373;0.11584291258;0.521576046793;0.285973755533,0.707990189805;0.619065946916;0.588156940629;0.721648829285
