day,condition,condition_code,dopamine_uM,ascorbic_acid_uM,uric_acid_uM,technique,sweep,n_points,rmse_uA,mae_uA,max_abs_residual_uA,normalized_rmse,r2,superposition_mode,baseline_source
1,6,106,5,100,0,cv_normal,anodic,1001,1.42589503021,0.525729590117,8.81012477845,0.29070975921,-3.23065461552,full_curve_sum,mean
1,6,106,5,100,0,cv_normal,cathodic,1000,1.16481667462,0.714301386815,7.82177712572,0.236924716179,-2.79153117727,full_curve_sum,mean
1,6,106,5,100,0,cv_gc,anodic,1001,6.2863175728,6.10895397443,13.4982929139,1.17306118286,-64.1439367596,full_curve_sum,mean
1,6,106,5,100,0,cv_gc,cathodic,1000,5.90189285049,5.75980812203,12.8386017842,1.09865510976,-77.7701322041,full_curve_sum,mean
1,7,107,5,200,0,cv_normal,anodic,1001,1.40127205067,0.567518020017,8.53099687917,0.265361022733,-2.33321246085,full_curve_sum,mean
1,7,107,5,200,0,cv_normal,cathodic,1000,1.14524674926,0.727883824687,7.54781239752,0.216280168693,-2.08485735547,full_curve_sum,mean
1,7,107,5,200,0,cv_gc,anodic,1001,6.21594277044,6.02902611965,13.426543871,1.0996024643,-54.3495626098,full_curve_sum,mean
1,7,107,5,200,0,cv_gc,cathodic,1000,5.84567138461,5.7026719605,12.7560616646,1.03228889902,-67.079854682,full_curve_sum,mean
1,8,108,5,400,0,cv_normal,anodic,1001,1.48145174228,0.766996319807,8.31514070349,0.259036949556,-1.5472424306,full_curve_sum,mean
1,8,108,5,400,0,cv_normal,cathodic,1000,1.12806455855,0.718052107004,7.29695102654,0.1966391205,-1.40243924782,full_curve_sum,mean
1,8,108,5,400,0,cv_gc,anodic,1001,6.38853252348,6.18218924938,13.5588035699,1.06436072015,-42.7496744952,full_curve_sum,mean
1,8,108,5,400,0,cv_gc,cathodic,1000,5.92914851397,5.78100507168,12.8795796942,0.985809047131,-55.387748442,full_curve_sum,mean
1,10,110,10,100,0,cv_normal,anodic,1001,1.48604734246,0.608929095814,9.02228528416,0.283357535375,-2.85968148858,full_curve_sum,mean
1,10,110,10,100,0,cv_normal,cathodic,1000,1.16035969896,0.678645102429,7.95666913326,0.220899926032,-2.09967616506,full_curve_sum,mean
1,10,110,10,100,0,cv_gc,anodic,1001,18.6112897918,18.4793117863,25.2569497295,3.32133911391,-506.067436015,full_curve_sum,mean
1,10,110,10,100,0,cv_gc,cathodic,1000,18.2648425748,18.1648869402,24.5935877081,3.25373520527,-657.537968839,full_curve_sum,mean
1,11,111,10,200,0,cv_normal,anodic,1001,1.49311270085,0.627871601249,8.92415738489,0.275562123836,-2.63322479024,full_curve_sum,mean
1,11,111,10,200,0,cv_normal,cathodic,1000,1.16577409008,0.708988670318,7.86370440506,0.214633058254,-1.93480142047,full_curve_sum,mean
1,11,111,10,200,0,cv_gc,anodic,1001,18.5936388808,18.4574831929,25.3824506866,3.26672708328,-490.924383928,full_curve_sum,mean
1,11,111,10,200,0,cv_gc,cathodic,1000,18.237365321,18.1359965444,24.7082975885,3.19939745116,-640.961930734,full_curve_sum,mean
1,12,112,10,400,0,cv_normal,anodic,1001,1.59727758185,0.825523314373,8.8785512092,0.281453645196,-2.05301435713,full_curve_sum,mean
1,12,112,10,400,0,cv_normal,cathodic,1000,1.19530323674,0.749238635382,7.78309303408,0.210111486709,-1.70694541911,full_curve_sum,mean
1,12,112,10,400,0,cv_gc,anodic,1001,18.5702783983,18.4252667682,25.5807103856,3.10950560076,-349.5957503,full_curve_sum,mean
1,12,112,10,400,0,cv_gc,cathodic,1000,18.1884874532,18.0844405508,24.8978156181,3.04165481341,-517.015533776,full_curve_sum,mean
1,14,114,20,100,0,cv_normal,anodic,1001,1.5235915216,0.600149759666,9.20034424007,0.263728328814,-2.27969281781,full_curve_sum,mean
1,14,114,20,100,0,cv_normal,cathodic,1000,1.18824285282,0.683775915017,8.0487929874,0.205135603143,-1.81239854268,full_curve_sum,mean
1,14,114,20,100,0,cv_gc,anodic,1001,9.32996232549,9.14731518418,16.8171760688,0.355149443168,-21.9108276842,full_curve_sum,mean
1,14,114,20,100,0,cv_gc,cathodic,1000,8.8554511576,8.70085350988,16.1485519357,0.367160832822,-35.5513983714,full_curve_sum,mean
