day,condition,condition_code,dopamine_uM,ascorbic_acid_uM,uric_acid_uM,technique,sweep,n_points,rmse_uA,mae_uA,max_abs_residual_uA,normalized_rmse,r2,superposition_mode,baseline_source,linear_correction,gaussian_correction,linear_edge_fraction,linear_left_range_v,linear_right_range_v,gaussian_fit_start_v,gaussian_center_v,gaussian_sigma_v,gaussian_fit_mode
1,6,106,5,100,0,cv_normal,anodic,1001,1.34169810958,0.460230865099,8.49494992066,0.313118305051,-4.15190735551,full_curve_sum,mean,True,False,0.08,"0.10,0.15","0.60,0.68",0.7,0.9,0.08,optimize
1,6,106,5,100,0,cv_normal,cathodic,1000,1.22693254683,0.409528191947,8.69354486972,0.259304083583,-3.55860996942,full_curve_sum,mean,True,False,0.08,"0.10,0.15","0.60,0.68",0.7,0.9,0.08,optimize
1,6,106,5,100,0,cv_gc,anodic,1001,1.43488659072,0.598430726656,7.47062741414,0.302061394579,-3.48444174693,full_curve_sum,mean,True,False,0.08,"0.10,0.15","0.60,0.68",0.7,0.9,0.08,optimize
1,6,106,5,100,0,cv_gc,cathodic,1000,1.28386047953,0.48642259985,7.22393448535,0.266952266592,-3.78807150801,full_curve_sum,mean,True,False,0.08,"0.10,0.15","0.60,0.68",0.7,0.9,0.08,optimize
1,7,107,5,200,0,cv_normal,anodic,1001,1.32741340592,0.520045273484,8.24211776489,0.321096379192,-4.30609560999,full_curve_sum,mean,True,False,0.08,"0.10,0.15","0.60,0.68",0.7,0.9,0.08,optimize
1,7,107,5,200,0,cv_normal,cathodic,1000,1.21872276155,0.392205167105,8.65899831878,0.252258791377,-3.34180513742,full_curve_sum,mean,True,False,0.08,"0.10,0.15","0.60,0.68",0.7,0.9,0.08,optimize
1,7,107,5,200,0,cv_gc,anodic,1001,1.42324404737,0.676235992561,7.33213173186,0.324768323398,-4.31249178594,full_curve_sum,mean,True,False,0.08,"0.10,0.15","0.60,0.68",0.7,0.9,0.08,optimize
1,7,107,5,200,0,cv_gc,cathodic,1000,1.26177298238,0.507158317585,7.13021413112,0.269212824495,-4.25555726983,full_curve_sum,mean,True,False,0.08,"0.10,0.15","0.60,0.68",0.7,0.9,0.08,optimize
1,8,108,5,400,0,cv_normal,anodic,1001,1.31168358372,0.617590435124,7.75861170183,0.368942199149,-3.86900450198,full_curve_sum,mean,True,False,0.08,"0.10,0.15","0.60,0.68",0.7,0.9,0.08,optimize
1,8,108,5,400,0,cv_normal,cathodic,1000,1.18457836973,0.388865216425,8.18010381054,0.2536218899,-3.85158822346,full_curve_sum,mean,True,False,0.08,"0.10,0.15","0.60,0.68",0.7,0.9,0.08,optimize
1,8,108,5,400,0,cv_gc,anodic,1001,1.3771426316,0.770261459639,6.93954534357,0.364758695437,-4.36387386735,full_curve_sum,mean,True,False,0.08,"0.10,0.15","0.60,0.68",0.7,0.9,0.08,optimize
1,8,108,5,400,0,cv_gc,cathodic,1000,1.22777477767,0.522925462003,6.99050648304,0.268428903863,-4.83133741288,full_curve_sum,mean,True,False,0.08,"0.10,0.15","0.60,0.68",0.7,0.9,0.08,optimize
1,10,110,10,100,0,cv_normal,anodic,1001,1.34196960504,0.466344758346,8.52179431412,0.280828166939,-2.88702768147,full_curve_sum,mean,True,False,0.08,"0.10,0.15","0.60,0.68",0.7,0.9,0.08,optimize
1,10,110,10,100,0,cv_normal,cathodic,1000,1.2234935281,0.418816778822,8.74333231313,0.246800836429,-2.86691282302,full_curve_sum,mean,True,False,0.08,"0.10,0.15","0.60,0.68",0.7,0.9,0.08,optimize
1,10,110,10,100,0,cv_gc,anodic,1001,2.08094546828,0.774762638507,15.6306876448,0.404695663732,-6.68871292672,full_curve_sum,mean,True,False,0.08,"0.10,0.15","0.60,0.68",0.7,0.9,0.08,optimize
1,10,110,10,100,0,cv_gc,cathodic,1000,1.86517196931,0.665148503959,13.5607139023,0.36831472084,-7.76955382597,full_curve_sum,mean,True,False,0.08,"0.10,0.15","0.60,0.68",0.7,0.9,0.08,optimize
1,11,111,10,200,0,cv_normal,anodic,1001,1.3610253613,0.524843366124,8.43603554942,0.304595750488,-3.74657037357,full_curve_sum,mean,True,False,0.08,"0.10,0.15","0.60,0.68",0.7,0.9,0.08,optimize
1,11,111,10,200,0,cv_normal,cathodic,1000,1.23599486369,0.417374954073,8.84388140711,0.250246871204,-3.05529498782,full_curve_sum,mean,True,False,0.08,"0.10,0.15","0.60,0.68",0.7,0.9,0.08,optimize
1,11,111,10,200,0,cv_gc,anodic,1001,2.05850844671,0.855983347825,15.3979896339,0.435619272204,-8.31996866996,full_curve_sum,mean,True,False,0.08,"0.10,0.15","0.60,0.68",0.7,0.9,0.08,optimize
1,11,111,10,200,0,cv_gc,cathodic,1000,1.8385884454,0.680998705366,13.3681599476,0.377166716982,-8.83982419184,full_curve_sum,mean,True,False,0.08,"0.10,0.15","0.60,0.68",0.7,0.9,0.08,optimize
1,12,112,10,400,0,cv_normal,anodic,1001,1.3905053091,0.640916609962,8.20771816338,0.382937787339,-4.54956360122,full_curve_sum,mean,True,False,0.08,"0.10,0.15","0.60,0.68",0.7,0.9,0.08,optimize
1,12,112,10,400,0,cv_normal,cathodic,1000,1.23760956485,0.421660612218,8.58282667509,0.266238467749,-4.16989538113,full_curve_sum,mean,True,False,0.08,"0.10,0.15","0.60,0.68",0.7,0.9,0.08,optimize
1,12,112,10,400,0,cv_gc,anodic,1001,2.06366973199,0.99524512297,15.1018786394,0.559278187236,-10.3144117848,full_curve_sum,mean,True,False,0.08,"0.10,0.15","0.60,0.68",0.7,0.9,0.08,optimize
1,12,112,10,400,0,cv_gc,cathodic,1000,1.84958765683,0.743324085419,13.1806013778,0.413753279054,-12.5369728897,full_curve_sum,mean,True,False,0.08,"0.10,0.15","0.60,0.68",0.7,0.9,0.08,optimize
1,14,114,20,100,0,cv_normal,anodic,1001,1.40815867695,0.499772086019,8.78222850103,0.272351502815,-2.59131681575,full_curve_sum,mean,True,False,0.08,"0.10,0.15","0.60,0.68",0.7,0.9,0.08,optimize
1,14,114,20,100,0,cv_normal,cathodic,1000,1.25075272597,0.423441365653,8.75181084234,0.230237151329,-2.68233206223,full_curve_sum,mean,True,False,0.08,"0.10,0.15","0.60,0.68",0.7,0.9,0.08,optimize
1,14,114,20,100,0,cv_gc,anodic,1001,2.37328302202,0.90175376033,15.7598505251,0.0922041223742,-0.561687922078,full_curve_sum,mean,True,False,0.08,"0.10,0.15","0.60,0.68",0.7,0.9,0.08,optimize
1,14,114,20,100,0,cv_gc,cathodic,1000,2.28037999252,0.792849455571,15.6014392936,0.0975221380614,-1.63840583923,full_curve_sum,mean,True,False,0.08,"0.10,0.15","0.60,0.68",0.7,0.9,0.08,optimize
1,15,115,20,200,0,cv_normal,anodic,1001,1.45166862595,0.568173474544,8.8733145222,0.311964365253,-3.57429290336,full_curve_sum,mean,True,False,0.08,"0.10,0.15","0.60,0.68",0.7,0.9,0.08,optimize
1,15,115,20,200,0,cv_normal,cathodic,1000,1.31647447909,0.431313267643,9.13318879355,0.252081257798,-3.64256735785,full_curve_sum,mean,True,False,0.08,"0.10,0.15","0.60,0.68",0.7,0.9,0.08,optimize
1,15,115,20,200,0,cv_gc,anodic,1001,1.55834085337,0.764041844102,7.61348158423,0.058214997112,0.657400645886,full_curve_sum,mean,True,False,0.08,"0.10,0.15","0.60,0.68",0.7,0.9,0.08,optimize
1,15,115,20,200,0,cv_gc,cathodic,1000,1.47529958756,0.612376909948,7.59752204386,0.0574978590054,0.57336292895,full_curve_sum,mean,True,False,0.08,"0.10,0.15","0.60,0.68",0.7,0.9,0.08,optimize
1,16,116,20,400,0,cv_normal,anodic,1001,1.49322614785,0.684386379686,8.72761757175,0.403926119386,-3.96634013282,full_curve_sum,mean,True,False,0.08,"0.10,0.15","0.60,0.68",0.7,0.9,0.08,optimize
1,16,116,20,400,0,cv_normal,cathodic,1000,1.36686144987,0.497701125273,9.01605758284,0.280541709323,-5.08264300041,full_curve_sum,mean,True,False,0.08,"0.10,0.15","0.60,0.68",0.7,0.9,0.08,optimize
1,16,116,20,400,0,cv_gc,anodic,1001,1.83189178733,0.997377499752,7.33121531619,0.068531585914,0.765160882179,full_curve_sum,mean,True,False,0.08,"0.10,0.15","0.60,0.68",0.7,0.9,0.08,optimize
1,16,116,20,400,0,cv_gc,cathodic,1000,1.65005057916,0.742914127384,7.53887450436,0.0623735537265,0.770547377343,full_curve_sum,mean,True,False,0.08,"0.10,0.15","0.60,0.68",0.7,0.9,0.08,optimize
1,18,118,50,100,0,cv_normal,anodic,1001,1.43313058002,0.50247049257,9.03907694774,0.309271847618,-3.35243036207,full_curve_sum,mean,True,False,0.08,"0.10,0.15","0.60,0.68",0.7,0.9,0.08,optimize
1,18,118,50,100,0,cv_normal,cathodic,1000,1.30298440805,0.411045310656,9.09150252965,0.26272301094,-3.99557207856,full_curve_sum,mean,True,False,0.08,"0.10,0.15","0.60,0.68",0.7,0.9,0.08,optimize
1,18,118,50,100,0,cv_gc,anodic,1001,1.36817292518,0.578910449489,7.75062611313,0.0516511107579,0.756106575597,full_curve_sum,mean,True,False,0.08,"0.10,0.15","0.60,0.68",0.7,0.9,0.08,optimize
1,18,118,50,100,0,cv_gc,cathodic,1000,1.24700799354,0.460072448183,7.66253244877,0.0491896039711,0.726346865326,full_curve_sum,mean,True,False,0.08,"0.10,0.15","0.60,0.68",0.7,0.9,0.08,optimize
1,19,119,50,200,0,cv_normal,anodic,1001,1.50152286788,0.572473421415,9.27961481206,0.380186506645,-4.72724807604,full_curve_sum,mean,True,False,0.08,"0.10,0.15","0.60,0.68",0.7,0.9,0.08,optimize
1,19,119,50,200,0,cv_normal,cathodic,1000,1.41653909031,0.443156503912,9.70707163661,0.313256799543,-6.48524043608,full_curve_sum,mean,True,False,0.08,"0.10,0.15","0.60,0.68",0.7,0.9,0.08,optimize
1,19,119,50,200,0,cv_gc,anodic,1001,1.30491016329,0.633889896572,7.61214242159,0.0494892545703,0.822795488541,full_curve_sum,mean,True,False,0.08,"0.10,0.15","0.60,0.68",0.7,0.9,0.08,optimize
1,19,119,50,200,0,cv_gc,cathodic,1000,1.22489940619,0.480204276129,7.72309271843,0.0481553506194,0.79890991543,full_curve_sum,mean,True,False,0.08,"0.10,0.15","0.60,0.68",0.7,0.9,0.08,optimize
1,20,120,50,400,0,cv_normal,anodic,1001,1.57963685511,0.704309445297,9.33586285195,0.532580021251,-4.06447436517,full_curve_sum,mean,True,False,0.08,"0.10,0.15","0.60,0.68",0.7,0.9,0.08,optimize
1,20,120,50,400,0,cv_normal,cathodic,1000,1.46237629074,0.491946097863,9.69204065454,0.365482879481,-8.33475480798,full_curve_sum,mean,True,False,0.08,"0.10,0.15","0.60,0.68",0.7,0.9,0.08,optimize
