day,condition,condition_code,dopamine_uM,ascorbic_acid_uM,uric_acid_uM,condition_folder
1,6,106,5,100,0,Day 1-4 Outputs w. TXT/Outputs_Day_1/Condition_6
1,7,107,5,200,0,Day 1-4 Outputs w. TXT/Outputs_Day_1/Condition_7
1,8,108,5,400,0,Day 1-4 Outputs w. TXT/Outputs_Day_1/Condition_8
1,10,110,10,100,0,Day 1-4 Outputs w. TXT/Outputs_Day_1/Condition_10
1,11,111,10,200,0,Day 1-4 Outputs w. TXT/Outputs_Day_1/Condition_11
1,12,112,10,400,0,Day 1-4 Outputs w. TXT/Outputs_Day_1/Condition_12
1,14,114,20,100,0,Day 1-4 Outputs w. TXT/Outputs_Day_1/Condition_14
1,15,115,20,200,0,Day 1-4 Outputs w. TXT/Outputs_Day_1/Condition_15
1,16,116,20,400,0,Day 1-4 Outputs w. TXT/Outputs_Day_1/Condition_16
1,18,118,50,100,0,Day 1-4 Outputs w. TXT/Outputs_Day_1/Condition_18
1,19,119,50,200,0,Day 1-4 Outputs w. TXT/Outputs_Day_1/Condition_19
1,20,120,50,400,0,Day 1-4 Outputs w. TXT/Outputs_Day_1/Condition_20
1,22,122,100,100,0,Day 1-4 Outputs w. TXT/Outputs_Day_1/Condition_22
1,23,123,100,200,0,Day 1-4 Outputs w. TXT/Outputs_Day_1/Condition_23
1,24,124,100,400,0,Day 1-4 Outputs w. TXT/Outputs_Day_1/Condition_24
2,2,202,0,100,100,Day 1-4 Outputs w. TXT/Outputs_Day_2_with_txt/Condition_2
2,3,203,0,200,100,Day 1-4 Outputs w. TXT/Outputs_Day_2_with_txt/Condition_3
2,4,204,0,400,100,Day 1-4 Outputs w. TXT/Outputs_Day_2_with_txt/Condition_4
2,5,205,5,0,100,Day 1-4 Outputs w. TXT/Outputs_Day_2_with_txt/Condition_5
2,6,206,5,100,100,Day 1-4 Outputs w. TXT/Outputs_Day_2_with_txt/Condition_6
2,7,207,5,200,100,Day 1-4 Outputs w. TXT/Outputs_Day_2_with_txt/Condition_7
2,8,208,5,400,100,Day 1-4 Outputs w. TXT/Outputs_Day_2_with_txt/Condition_8
2,9,209,10,0,100,Day 1-4 Outputs w. TXT/Outputs_Day_2_with_txt/Condition_9
2,10,210,10,100,100,Day 1-4 Outputs w. TXT/Outputs_Day_2_with_txt/Condition_10
2,11,211,10,200,100,Day 1-4 Outputs w. TXT/Outputs_Day_2_with_txt/Condition_11
2,12,212,10,400,100,Day 1-4 Outputs w. TXT/Outputs_Day_2_with_txt/Condition_12
2,13,213,20,0,100,Day 1-4 Outputs w. TXT/Outputs_Day_2_with_txt/Condition_13
2,14,214,20,100,100,Day 1-4 Outputs w. TXT/Outputs_Day_2_with_txt/Condition_14
2,15,215,20,200,100,Day 1-4 Outputs w. TXT/Outputs_Day_2_with_txt/Condition_15
2,16,216,20,400,100,Day 1-4 Outputs w. TXT/Outputs_Day_2_with_txt/Condition_16
2,17,217,50,0,100,Day 1-4 Outputs w. TXT/Outputs_Day_2_with_txt/Condition_17
2,18,218,50,100,100,Day 1-4 Outputs w. TXT/Outputs_Day_2_with_txt/Condition_18
2,19,219,50,200,100,Day 1-4 Outputs w. TXT/Outputs_Day_2_with_txt/Condition_19
2,20,220,50,400,100,Day 1-4 Outputs w. TXT/Outputs_Day_2_with_txt/Condition_20
2,21,221,100,0,100,Day 1-4 Outputs w. TXT/Outputs_Day_2_with_txt/Condition_21
2,22,222,100,100,100,Day 1-4 Outputs w. TXT/Outputs_Day_2_with_txt/Condition_22
2,23,223,100,200,100,Day 1-4 Outputs w. TXT/Outputs_Day_2_with_txt/Condition_23
2,24,224,100,400,100,Day 1-4 Outputs w. TXT/Outputs_Day_2_with_txt/Condition_24
3,2,302,0,100,200,Day 1-4 Outputs w. TXT/Outputs_Day_3_with_txt/Condition_2
3,3,303,0,200,200,Day 1-4 Outputs w. TXT/Outputs_Day_3_with_txt/Condition_3
3,4,304,0,400,200,Day 1-4 Outputs w. TXT/Outputs_Day_3_with_txt/Condition_4
3,5,305,5,0,200,Day 1-4 Outputs w. TXT/Outputs_Day_3_with_txt/Condition_5
3,6,306,5,100,200,Day 1-4 Outputs w. TXT/Outputs_Day_3_with_txt/Condition_6
3,7,307,5,200,200,Day 1-4 Outputs w. TXT/Outputs_Day_3_with_txt/Condition_7
3,8,308,5,400,200,Day 1-4 Outputs w. TXT/Outputs_Day_3_with_txt/Condition_8
3,9,309,10,0,200,Day 1-4 Outputs w. TXT/Outputs_Day_3_with_txt/Condition_9
3,10,310,10,100,200,Day 1-4 Outputs w. TXT/Outputs_Day_3_with_txt/Condition_10
3,11,311,10,200,200,Day 1-4 Outputs w. TXT/Outputs_Day_3_with_txt/Condition_11
3,12,312,10,400,200,Day 1-4 Outputs w. TXT/Outputs_Day_3_with_txt/Condition_12
3,13,313,20,0,200,Day 1-4 Outputs w. TXT/Outputs_Day_3_with_txt/Condition_13
3,14,314,20,100,200,Day 1-4 Outputs w. TXT/Outputs_Day_3_with_txt/Condition_14
3,15,315,20,200,200,Day 1-4 Outputs w. TXT/Outputs_Day_3_with_txt/Condition_15
3,16,316,20,400,200,Day 1-4 Outputs w. TXT/Outputs_Day_3_with_txt/Condition_16
3,17,317,50,0,200,Day 1-4 Outputs w. TXT/Outputs_Day_3_with_txt/Condition_17
3,18,318,50,100,200,Day 1-4 Outputs w. TXT/Outputs_Day_3_with_txt/Condition_18
3,19,319,50,200,200,Day 1-4 Outputs w. TXT/Outputs_Day_3_with_txt/Condition_19
3,20,320,50,400,200,Day 1-4 Outputs w. TXT/Outputs_Day_3_with_txt/Condition_20
3,21,321,100,0,200,Day 1-4 Outputs w. TXT/Outputs_Day_3_with_txt/Condition_21
3,22,322,100,100,200,Day 1-4 Outputs w. TXT/Outputs_Day_3_with_txt/Condition_22
3,23,323,100,200,200,Day 1-4 Outputs w. TXT/Outputs_Day_3_with_txt/Condition_23
3,24,324,100,400,200,Day 1-4 Outputs w. TXT/Outputs_Day_3_with_txt/Condition_24
4,2,402,0,100,400,Day 1-4 Outputs w. TXT/Outputs_Day_4_with_txt/Condition_2
4,3,403,0,200,400,Day 1-4 Outputs w. TXT/Outputs_Day_4_with_txt/Condition_3
4,4,404,0,400,400,Day 1-4 Outputs w. TXT/Outputs_Day_4_with_txt/Condition_4
4,5,405,5,0,400,Day 1-4 Outputs w. TXT/Outputs_Day_4_with_txt/Condition_5
4,6,406,5,100,400,Day 1-4 Outputs w. TXT/Outputs_Day_4_with_txt/Condition_6
4,7,407,5,200,400,Day 1-4 Outputs w. TXT/Outputs_Day_4_with_txt/Condition_7
4,8,408,5,400,400,Day 1-4 Outputs w. TXT/Outputs_Day_4_with_txt/Condition_8
4,9,409,10,0,400,Day 1-4 Outputs w. TXT/Outputs_Day_4_with_txt/Condition_9
4,10,410,10,100,400,Day 1-4 Outputs w. TXT/Outputs_Day_4_with_txt/Condition_10
4,11,411,10,200,400,Day 1-4 Outputs w. TXT/Outputs_Day_4_with_txt/Condition_11
4,12,412,10,400,400,Day 1-4 Outputs w. TXT/Outputs_Day_4_with_txt/Condition_12
4,13,413,20,0,400,Day 1-4 Outputs w. TXT/Outputs_Day_4_with_txt/Condition_13
4,14,414,20,100,400,Day 1-4 Outputs w. TXT/Outputs_Day_4_with_txt/Condition_14
4,15,415,20,200,400,Day 1-4 Outputs w. TXT/Outputs_Day_4_with_txt/Condition_15
4,16,416,20,400,400,Day 1-4 Outputs w. TXT/Outputs_Day_4_with_txt/Condition_16
4,17,417,50,0,400,Day 1-4 Outputs w. TXT/Outputs_Day_4_with_txt/Condition_17
4,18,418,50,100,400,Day 1-4 Outputs w. TXT/Outputs_Day_4_with_txt/Condition_18
4,19,419,50,200,400,Day 1-4 Outputs w. TXT/Outputs_Day_4_with_txt/Condition_19
4,20,420,50,400,400,Day 1-4 Outputs w. TXT/Outputs_Day_4_with_txt/Condition_20
4,21,421,100,0,400,Day 1-4 Outputs w. TXT/Outputs_Day_4_with_txt/Condition_21
4,22,422,100,100,400,Day 1-4 Outputs w. TXT/Outputs_Day_4_with_txt/Condition_22
4,23,423,100,200,400,Day 1-4 Outputs w. TXT/Outputs_Day_4_with_txt/Condition_23
4,24,424,100,400,400,Day 1-4 Outputs w. TXT/Outputs_Day_4_with_txt/Condition_24
