day,condition,condition_code,dopamine_uM,ascorbic_acid_uM,uric_acid_uM,technique,sweep,n_points,rmse_uA,mae_uA,max_abs_residual_uA,normalized_rmse,r2,superposition_mode,baseline_source,linear_correction,gaussian_correction,linear_edge_fraction,linear_left_range_v,linear_right_range_v,gaussian_fit_start_v,gaussian_center_v,gaussian_sigma_v,gaussian_fit_mode
1,6,106,5,100,0,cv_normal,anodic,1001,0.106134131875,0.0776747827881,0.324764172177,0.134404259373,0.601325831718,full_curve_sum,mean,True,True,0.08,"0.10,0.15","0.60,0.68",0.7,0.9,0.08,optimize
1,6,106,5,100,0,cv_normal,cathodic,1000,0.156459746855,0.119686787444,0.582901658666,0.467729903356,-5.88565017261,full_curve_sum,mean,True,True,0.08,"0.10,0.15","0.60,0.68",0.7,0.9,0.08,optimize
1,6,106,5,100,0,cv_gc,anodic,1001,0.684592530495,0.243762706417,5.62224095122,0.75735539292,-12.4627590587,full_curve_sum,mean,True,True,0.08,"0.10,0.15","0.60,0.68",0.7,0.9,0.08,optimize
1,6,106,5,100,0,cv_gc,cathodic,1000,0.633496434917,0.183589818255,5.09130042242,2.18934862344,-66.9838971844,full_curve_sum,mean,True,True,0.08,"0.10,0.15","0.60,0.68",0.7,0.9,0.08,optimize
1,7,107,5,200,0,cv_normal,anodic,1001,0.204252843863,0.143499508488,0.609665911358,0.187609729498,0.469477492586,full_curve_sum,mean,True,True,0.08,"0.10,0.15","0.60,0.68",0.7,0.9,0.08,optimize
1,7,107,5,200,0,cv_normal,cathodic,1000,0.141412334986,0.108582000405,0.564857690412,0.319205139383,-1.01473049586,full_curve_sum,mean,True,True,0.08,"0.10,0.15","0.60,0.68",0.7,0.9,0.08,optimize
1,7,107,5,200,0,cv_gc,anodic,1001,0.694073616648,0.330731359302,5.44808562752,0.618775012351,-4.4862723532,full_curve_sum,mean,True,True,0.08,"0.10,0.15","0.60,0.68",0.7,0.9,0.08,optimize
1,7,107,5,200,0,cv_gc,cathodic,1000,0.617540282035,0.207176453679,4.9657493122,1.51711950715,-28.3848848098,full_curve_sum,mean,True,True,0.08,"0.10,0.15","0.60,0.68",0.7,0.9,0.08,optimize
1,8,108,5,400,0,cv_normal,anodic,1001,0.391877902296,0.277934571736,1.09885981742,0.265527097317,0.304078585605,full_curve_sum,mean,True,True,0.08,"0.10,0.15","0.60,0.68",0.7,0.9,0.08,optimize
1,8,108,5,400,0,cv_normal,cathodic,1000,0.162334949387,0.126781741716,0.528207760156,0.247801634057,0.260054498321,full_curve_sum,mean,True,True,0.08,"0.10,0.15","0.60,0.68",0.7,0.9,0.08,optimize
1,8,108,5,400,0,cv_gc,anodic,1001,0.756021520663,0.486309194303,5.11209483109,0.591259061433,-2.06377621091,full_curve_sum,mean,True,True,0.08,"0.10,0.15","0.60,0.68",0.7,0.9,0.08,optimize
1,8,108,5,400,0,cv_gc,cathodic,1000,0.593940582138,0.236355596281,4.74334048652,0.958503943521,-11.4901335516,full_curve_sum,mean,True,True,0.08,"0.10,0.15","0.60,0.68",0.7,0.9,0.08,optimize
1,10,110,10,100,0,cv_normal,anodic,1001,0.0956606915076,0.0778113984418,0.249413600211,0.121493759391,0.574616665681,full_curve_sum,mean,True,True,0.08,"0.10,0.15","0.60,0.68",0.7,0.9,0.08,optimize
1,10,110,10,100,0,cv_normal,cathodic,1000,0.1772094786,0.139748080577,0.62951838958,0.697811926414,-5.6450605073,full_curve_sum,mean,True,True,0.08,"0.10,0.15","0.60,0.68",0.7,0.9,0.08,optimize
1,10,110,10,100,0,cv_gc,anodic,1001,1.75586418838,0.465069673139,15.3725521211,1.78166968809,-85.1643548632,full_curve_sum,mean,True,True,0.08,"0.10,0.15","0.60,0.68",0.7,0.9,0.08,optimize
1,10,110,10,100,0,cv_gc,cathodic,1000,1.57511897505,0.391123721487,13.5028986735,4.18659824894,-181.404506061,full_curve_sum,mean,True,True,0.08,"0.10,0.15","0.60,0.68",0.7,0.9,0.08,optimize
1,11,111,10,200,0,cv_normal,anodic,1001,0.191539364928,0.131637114469,0.579859391541,0.174045835424,0.453085411099,full_curve_sum,mean,True,True,0.08,"0.10,0.15","0.60,0.68",0.7,0.9,0.08,optimize
1,11,111,10,200,0,cv_normal,cathodic,1000,0.169758522967,0.137300729338,0.594292969779,0.358558612923,-0.843876247524,full_curve_sum,mean,True,True,0.08,"0.10,0.15","0.60,0.68",0.7,0.9,0.08,optimize
1,11,111,10,200,0,cv_gc,anodic,1001,1.73855035142,0.555471411968,15.1686679869,1.40626905872,-35.9811807327,full_curve_sum,mean,True,True,0.08,"0.10,0.15","0.60,0.68",0.7,0.9,0.08,optimize
1,11,111,10,200,0,cv_gc,cathodic,1000,1.55049298193,0.410931995683,13.334822184,2.85117104829,-102.513861407,full_curve_sum,mean,True,True,0.08,"0.10,0.15","0.60,0.68",0.7,0.9,0.08,optimize
1,12,112,10,400,0,cv_normal,anodic,1001,0.393750116346,0.281060421293,1.13128891602,0.270363225494,0.229537843341,full_curve_sum,mean,True,True,0.08,"0.10,0.15","0.60,0.68",0.7,0.9,0.08,optimize
1,12,112,10,400,0,cv_normal,cathodic,1000,0.202130820256,0.151336542039,0.529389076545,0.245680822771,0.205864687829,full_curve_sum,mean,True,True,0.08,"0.10,0.15","0.60,0.68",0.7,0.9,0.08,optimize
1,12,112,10,400,0,cv_gc,anodic,1001,1.74219350996,0.72287496186,14.8333569211,1.11623754254,-12.4449126989,full_curve_sum,mean,True,True,0.08,"0.10,0.15","0.60,0.68",0.7,0.9,0.08,optimize
1,12,112,10,400,0,cv_gc,cathodic,1000,1.52553491283,0.463103184662,13.1160170463,1.65885414406,-41.1984214769,full_curve_sum,mean,True,True,0.08,"0.10,0.15","0.60,0.68",0.7,0.9,0.08,optimize
1,14,114,20,100,0,cv_normal,anodic,1001,0.124211295243,0.0857540713097,0.408116049724,0.113452204497,0.687138498755,full_curve_sum,mean,True,True,0.08,"0.10,0.15","0.60,0.68",0.7,0.9,0.08,optimize
1,14,114,20,100,0,cv_normal,cathodic,1000,0.165934745766,0.131774137017,0.64577686527,0.370831346983,-0.417366422611,full_curve_sum,mean,True,True,0.08,"0.10,0.15","0.60,0.68",0.7,0.9,0.08,optimize
1,14,114,20,100,0,cv_gc,anodic,1001,1.99621665815,0.53442801794,15.799057279,0.0855328181259,-0.185535352659,full_curve_sum,mean,True,True,0.08,"0.10,0.15","0.60,0.68",0.7,0.9,0.08,optimize
1,14,114,20,100,0,cv_gc,cathodic,1000,1.96261209156,0.477246794331,15.6042119654,0.0953702156127,-1.12690048858,full_curve_sum,mean,True,True,0.08,"0.10,0.15","0.60,0.68",0.7,0.9,0.08,optimize
1,15,115,20,200,0,cv_normal,anodic,1001,0.229706175883,0.147116609344,0.754987869256,0.164353473418,0.533007962284,full_curve_sum,mean,True,True,0.08,"0.10,0.15","0.60,0.68",0.7,0.9,0.08,optimize
1,15,115,20,200,0,cv_normal,cathodic,1000,0.156111189595,0.118221741843,0.623321661471,0.222060007106,0.422208565183,full_curve_sum,mean,True,True,0.08,"0.10,0.15","0.60,0.68",0.7,0.9,0.08,optimize
1,15,115,20,200,0,cv_gc,anodic,1001,0.937135998016,0.418645550123,6.98139432835,0.0376305215765,0.872298039351,full_curve_sum,mean,True,True,0.08,"0.10,0.15","0.60,0.68",0.7,0.9,0.08,optimize
1,15,115,20,200,0,cv_gc,cathodic,1000,0.930688982631,0.304340069891,7.31266306155,0.0401819733701,0.824853312366,full_curve_sum,mean,True,True,0.08,"0.10,0.15","0.60,0.68",0.7,0.9,0.08,optimize
1,16,116,20,400,0,cv_normal,anodic,1001,0.43313667059,0.282594831421,1.36329739107,0.242117529292,0.367127259347,full_curve_sum,mean,True,True,0.08,"0.10,0.15","0.60,0.68",0.7,0.9,0.08,optimize
1,16,116,20,400,0,cv_normal,cathodic,1000,0.248239993596,0.179892581939,0.614980734618,0.206345962572,0.410179095624,full_curve_sum,mean,True,True,0.08,"0.10,0.15","0.60,0.68",0.7,0.9,0.08,optimize
1,16,116,20,400,0,cv_gc,anodic,1001,1.37586791884,0.698860889839,6.87841427133,0.0533205165575,0.866097434234,full_curve_sum,mean,True,True,0.08,"0.10,0.15","0.60,0.68",0.7,0.9,0.08,optimize
1,16,116,20,400,0,cv_gc,cathodic,1000,1.1915505096,0.445634385094,6.27743012595,0.0487427725274,0.878841778668,full_curve_sum,mean,True,True,0.08,"0.10,0.15","0.60,0.68",0.7,0.9,0.08,optimize
1,18,118,50,100,0,cv_normal,anodic,1001,0.113729849252,0.0797033674607,0.359968981178,0.0966049985711,0.833009051618,full_curve_sum,mean,True,True,0.08,"0.10,0.15","0.60,0.68",0.7,0.9,0.08,optimize
1,18,118,50,100,0,cv_normal,cathodic,1000,0.106054624523,0.0771123873573,0.537708682308,0.156195878714,0.770282383119,full_curve_sum,mean,True,True,0.08,"0.10,0.15","0.60,0.68",0.7,0.9,0.08,optimize
1,18,118,50,100,0,cv_gc,anodic,1001,0.521399114153,0.25465321609,4.21571761572,0.021109304273,0.963701691033,full_curve_sum,mean,True,True,0.08,"0.10,0.15","0.60,0.68",0.7,0.9,0.08,optimize
1,18,118,50,100,0,cv_gc,cathodic,1000,0.486388024447,0.164381933469,4.2800831109,0.0209507170066,0.957499949116,full_curve_sum,mean,True,True,0.08,"0.10,0.15","0.60,0.68",0.7,0.9,0.08,optimize
1,19,119,50,200,0,cv_normal,anodic,1001,0.210086415083,0.13774369372,0.675651807126,0.143930816547,0.726270542728,full_curve_sum,mean,True,True,0.08,"0.10,0.15","0.60,0.68",0.7,0.9,0.08,optimize
1,19,119,50,200,0,cv_normal,cathodic,1000,0.11384933312,0.0833804988874,0.542340286559,0.134714123498,0.80123801751,full_curve_sum,mean,True,True,0.08,"0.10,0.15","0.60,0.68",0.7,0.9,0.08,optimize
1,19,119,50,200,0,cv_gc,anodic,1001,0.55936489912,0.334466713693,2.82270911529,0.0222631539871,0.966941267791,full_curve_sum,mean,True,True,0.08,"0.10,0.15","0.60,0.68",0.7,0.9,0.08,optimize
1,19,119,50,200,0,cv_gc,cathodic,1000,0.477786809719,0.196454596326,2.74507329973,0.0202105961862,0.969021339238,full_curve_sum,mean,True,True,0.08,"0.10,0.15","0.60,0.68",0.7,0.9,0.08,optimize
1,20,120,50,400,0,cv_normal,anodic,1001,0.422890076858,0.270008024867,1.30894298603,0.200098871345,0.586819876748,full_curve_sum,mean,True,True,0.08,"0.10,0.15","0.60,0.68",0.7,0.9,0.08,optimize
1,20,120,50,400,0,cv_normal,cathodic,1000,0.184916246867,0.146961694725,0.480299898022,0.149518192657,0.721978712583,full_curve_sum,mean,True,True,0.08,"0.10,0.15","0.60,0.68",0.7,0.9,0.08,optimize
1,20,120,50,400,0,cv_gc,anodic,1001,2.62992764549,1.06349654972,12.0264896265,0.101680565763,0.624738842747,full_curve_sum,mean,True,True,0.08,"0.10,0.15","0.60,0.68",0.7,0.9,0.08,optimize
1,20,120,50,400,0,cv_gc,cathodic,1000,2.54087875097,0.822592569954,11.7381875377,0.103696914532,0.587989446894,full_curve_sum,mean,True,True,0.08,"0.10,0.15","0.60,0.68",0.7,0.9,0.08,optimize
1,22,122,100,100,0,cv_normal,anodic,1001,0.0993527002122,0.0726418665664,0.359268942662,0.0899471696662,0.917054845643,full_curve_sum,mean,True,True,0.08,"0.10,0.15","0.60,0.68",0.7,0.9,0.08,optimize
1,22,122,100,100,0,cv_normal,cathodic,1000,0.166108812741,0.125003189228,0.719503225982,0.183740554765,0.576476614759,full_curve_sum,mean,True,True,0.08,"0.10,0.15","0.60,0.68",0.7,0.9,0.08,optimize
1,22,122,100,100,0,cv_gc,anodic,1001,0.201268814135,0.117550491803,1.57736333212,0.180210543733,0.641225663194,full_curve_sum,mean,True,True,0.08,"0.10,0.15","0.60,0.68",0.7,0.9,0.08,optimize
1,22,122,100,100,0,cv_gc,cathodic,1000,0.22934663437,0.152706990923,1.54715087657,0.193479392214,0.443460822809,full_curve_sum,mean,True,True,0.08,"0.10,0.15","0.60,0.68",0.7,0.9,0.08,optimize
1,23,123,100,200,0,cv_normal,anodic,1001,0.157224675983,0.114258692204,0.420374964413,0.104054087934,0.881038205553,full_curve_sum,mean,True,True,0.08,"0.10,0.15","0.60,0.68",0.7,0.9,0.08,optimize
1,23,123,100,200,0,cv_normal,cathodic,1000,0.169982159308,0.128862365052,0.695893263658,0.181647008057,0.573414044621,full_curve_sum,mean,True,True,0.08,"0.10,0.15","0.60,0.68",0.7,0.9,0.08,optimize
1,23,123,100,200,0,cv_gc,anodic,1001,0.270965420317,0.186506240469,1.47056192047,0.184945472748,0.586678668552,full_curve_sum,mean,True,True,0.08,"0.10,0.15","0.60,0.68",0.7,0.9,0.08,optimize
1,23,123,100,200,0,cv_gc,cathodic,1000,0.226404274163,0.146488165359,1.45038958475,0.168455338041,0.554868367175,full_curve_sum,mean,True,True,0.08,"0.10,0.15","0.60,0.68",0.7,0.9,0.08,optimize
1,24,124,100,400,0,cv_normal,anodic,1001,0.21170316738,0.162083508965,0.472146976082,0.100058598123,0.88419097247,full_curve_sum,mean,True,True,0.08,"0.10,0.15","0.60,0.68",0.7,0.9,0.08,optimize
1,24,124,100,400,0,cv_normal,cathodic,1000,0.208289004337,0.161558585355,0.613440462852,0.188784956515,0.525992532571,full_curve_sum,mean,True,True,0.08,"0.10,0.15","0.60,0.68",0.7,0.9,0.08,optimize
1,24,124,100,400,0,cv_gc,anodic,1001,0.447068144985,0.331716832778,1.14950070397,0.214740659319,0.437764786851,full_curve_sum,mean,True,True,0.08,"0.10,0.15","0.60,0.68",0.7,0.9,0.08,optimize
