day,condition,condition_code,dopamine_uM,ascorbic_acid_uM,uric_acid_uM,technique,sweep,n_points,rmse_uA,mae_uA,max_abs_residual_uA,normalized_rmse,r2,superposition_mode,baseline_source,linear_correction,gaussian_correction,linear_edge_fraction,gaussian_fit_start_v,gaussian_center_v,gaussian_sigma_v
1,6,106,5,100,0,cv_normal,anodic,1001,2.11660007387,1.8146007949,4.1655665949,0.600829804362,-9.68484653287,full_curve_sum,mean,True,True,0.08,0.65,0.9,0.18
1,6,106,5,100,0,cv_normal,cathodic,1000,1.78570466905,1.45217943335,4.96233525677,0.419179317954,-7.23014230825,full_curve_sum,mean,True,True,0.08,0.65,0.9,0.18
1,6,106,5,100,0,cv_gc,anodic,1001,1.77226466354,1.4994825853,4.4427543782,0.455539081952,-4.81964443947,full_curve_sum,mean,True,True,0.08,0.65,0.9,0.18
1,6,106,5,100,0,cv_gc,cathodic,1000,1.47133907488,1.23591919656,3.5592788381,0.330676425418,-4.28882118682,full_curve_sum,mean,True,True,0.08,0.65,0.9,0.18
1,7,107,5,200,0,cv_normal,anodic,1001,2.11569621631,1.83118897345,3.96499201064,0.606201997515,-9.48499096921,full_curve_sum,mean,True,True,0.08,0.65,0.9,0.18
1,7,107,5,200,0,cv_normal,cathodic,1000,1.80483883712,1.47743373468,5.00245825071,0.418194816955,-7.07417122613,full_curve_sum,mean,True,True,0.08,0.65,0.9,0.18
1,7,107,5,200,0,cv_gc,anodic,1001,1.77840632395,1.5392176227,4.40668679585,0.476934233994,-5.53300159332,full_curve_sum,mean,True,True,0.08,0.65,0.9,0.18
1,7,107,5,200,0,cv_gc,cathodic,1000,1.4589726119,1.24203829408,3.51543663605,0.327913287265,-4.6800213346,full_curve_sum,mean,True,True,0.08,0.65,0.9,0.18
1,8,108,5,400,0,cv_normal,anodic,1001,2.14358784247,1.86662613469,3.68709652944,0.651155940559,-8.89453143331,full_curve_sum,mean,True,True,0.08,0.65,0.9,0.18
1,8,108,5,400,0,cv_normal,cathodic,1000,1.83138974297,1.52198584843,4.69226036064,0.411811473887,-8.01709977473,full_curve_sum,mean,True,True,0.08,0.65,0.9,0.18
1,8,108,5,400,0,cv_gc,anodic,1001,1.71892497357,1.49980684675,4.35447892608,0.490893245408,-5.34374255731,full_curve_sum,mean,True,True,0.08,0.65,0.9,0.18
1,8,108,5,400,0,cv_gc,cathodic,1000,1.4423055125,1.24545013971,3.4815376216,0.326707471436,-5.35337712001,full_curve_sum,mean,True,True,0.08,0.65,0.9,0.18
