Trial:          39
Mean RMSE:      102.0521 µM
RMSE DA:        25.8666 µM
RMSE AA:        115.7618 µM
RMSE UA:        164.5278 µM
Selected tests: cagc
N features:     3
Train conds:    [1, 2, 4, 6, 7, 8, 9, 10, 12, 13, 15, 16, 17, 18, 19, 21, 22, 23, 24]
Test conds:     [3, 5, 11, 14, 20]
Epoch floor:    100000
Actual epochs:  879000 (extended)
Patience:       100 val-checks

Features:
  cagc_CE_1s
  cagc_CE_10s
  cagc_CE_ss

Predictions vs targets (test set):
Sample  DA_true     DA_pred     AA_true     AA_pred     UA_true     UA_pred     
--------------------------------------------------------------------------------
1       5.0         50.8        200.0       213.8       400.0       189.4       
2       5.0         38.6        200.0       172.8       400.0       170.3       
3       5.0         32.5        200.0       151.8       400.0       161.1       
4       10.0        18.6        0.0         121.4       200.0       100.5       
5       10.0        22.5        0.0         148.1       200.0       78.5        
6       10.0        20.6        0.0         139.2       200.0       76.8        
7       20.0        13.1        200.0       132.1       0.0         130.4       
8       20.0        39.0        200.0       175.1       0.0         166.5       
9       20.0        41.4        200.0       183.3       0.0         169.9       
10      50.0        63.1        100.0       243.0       400.0       228.4       
11      50.0        62.8        100.0       243.0       400.0       227.5       
12      50.0        61.1        100.0       240.3       400.0       220.0       
13      100.0       65.6        400.0       249.4       100.0       241.5       
14      100.0       61.3        400.0       240.4       100.0       220.5       
15      100.0       58.7        400.0       234.2       100.0       210.7       
