Trial:          54
Mean RMSE:      104.9513 µM
RMSE DA:        30.5128 µM
RMSE AA:        133.9192 µM
RMSE UA:        150.4221 µM
Selected tests: ca
N features:     4
Train conds:    [1, 2, 4, 6, 7, 8, 9, 10, 12, 13, 15, 16, 17, 18, 19, 21, 22, 23, 24]
Test conds:     [3, 5, 11, 14, 20]
Epoch floor:    100000
Actual epochs:  285600 (extended)
Patience:       100 val-checks

Features:
  ca_cott_R2
  ca_Q_early
  ca_Q_late
  ca_Q_late_early

Predictions vs targets (test set):
Sample  DA_true     DA_pred     AA_true     AA_pred     UA_true     UA_pred     
--------------------------------------------------------------------------------
1       5.0         30.3        200.0       298.8       400.0       235.7       
2       5.0         -8.9        200.0       430.0       400.0       349.9       
3       5.0         4.4         200.0       359.3       400.0       248.6       
4       10.0        19.3        0.0         86.1        200.0       150.4       
5       10.0        7.8         0.0         154.2       200.0       133.6       
6       10.0        9.9         0.0         134.6       200.0       137.9       
7       20.0        70.0        200.0       212.1       0.0         151.9       
8       20.0        62.6        200.0       167.5       0.0         188.4       
9       20.0        59.0        200.0       175.3       0.0         164.0       
10      50.0        59.0        100.0       190.8       400.0       169.2       
11      50.0        58.1        100.0       158.1       400.0       163.8       
12      50.0        56.1        100.0       153.7       400.0       158.7       
13      100.0       61.1        400.0       222.9       100.0       214.5       
14      100.0       46.5        400.0       209.3       100.0       190.3       
15      100.0       48.6        400.0       181.8       100.0       146.8       
