Trial:          154
Mean RMSE:      100.0115 µM
RMSE DA:        23.5817 µM
RMSE AA:        110.1797 µM
RMSE UA:        166.2732 µM
Selected tests: cv, cagc
N features:     2
Train conds:    [1, 2, 4, 6, 7, 8, 9, 10, 12, 13, 15, 16, 17, 18, 19, 21, 22, 23, 24]
Test conds:     [3, 5, 11, 14, 20]
Epoch floor:    100000
Actual epochs:  450000 (extended)
Patience:       100 val-checks

Features:
  cagc_CE_10s
  cagc_eta10

Predictions vs targets (test set):
Sample  DA_true     DA_pred     AA_true     AA_pred     UA_true     UA_pred     
--------------------------------------------------------------------------------
1       5.0         43.7        200.0       212.4       400.0       172.0       
2       5.0         28.9        200.0       194.5       400.0       157.9       
3       5.0         28.4        200.0       191.1       400.0       155.7       
4       10.0        21.8        0.0         129.4       200.0       109.1       
5       10.0        21.2        0.0         124.1       200.0       101.8       
6       10.0        20.2        0.0         116.5       200.0       91.2        
7       20.0        26.6        200.0       158.3       0.0         147.2       
8       20.0        30.0        200.0       194.9       0.0         137.7       
9       20.0        31.4        200.0       198.2       0.0         137.3       
10      50.0        59.3        100.0       227.6       400.0       213.2       
11      50.0        64.4        100.0       234.1       400.0       230.0       
12      50.0        60.2        100.0       228.7       400.0       216.1       
13      100.0       84.1        400.0       259.7       100.0       296.0       
14      100.0       56.8        400.0       225.1       100.0       206.9       
15      100.0       49.3        400.0       217.7       100.0       187.6       
