Trial:          162
Mean RMSE:      99.6235 µM
RMSE DA:        23.7867 µM
RMSE AA:        107.6253 µM
RMSE UA:        167.4585 µM
Selected tests: cv, cagc
N features:     1
Train conds:    [1, 2, 4, 6, 7, 8, 9, 10, 12, 13, 15, 16, 17, 18, 19, 21, 22, 23, 24]
Test conds:     [3, 5, 11, 14, 20]
Epoch floor:    100000
Actual epochs:  120000 (extended)
Patience:       100 val-checks

Features:
  cagc_eta10

Predictions vs targets (test set):
Sample  DA_true     DA_pred     AA_true     AA_pred     UA_true     UA_pred     
--------------------------------------------------------------------------------
1       5.0         47.3        200.0       204.1       400.0       188.9       
2       5.0         31.2        200.0       170.1       400.0       152.7       
3       5.0         29.3        200.0       163.5       400.0       146.5       
4       10.0        14.2        0.0         110.8       200.0       96.8        
5       10.0        12.4        0.0         104.3       200.0       90.7        
6       10.0        11.3        0.0         100.4       200.0       87.0        
7       20.0        26.2        200.0       152.4       0.0         136.0       
8       20.0        35.5        200.0       182.1       0.0         162.1       
9       20.0        36.0        200.0       183.5       0.0         159.9       
10      50.0        60.2        100.0       228.3       400.0       222.2       
11      50.0        64.5        100.0       236.3       400.0       233.2       
12      50.0        61.0        100.0       229.7       400.0       224.1       
13      100.0       80.6        400.0       266.6       100.0       275.1       
14      100.0       58.2        400.0       224.5       100.0       217.0       
15      100.0       52.0        400.0       212.9       100.0       201.0       
