Trial:          168
Mean RMSE:      98.8928 µM
RMSE DA:        24.7210 µM
RMSE AA:        110.8714 µM
RMSE UA:        161.0859 µM
Selected tests: cv, cagc
N features:     2
Train conds:    [1, 2, 4, 6, 7, 8, 9, 10, 12, 13, 15, 16, 17, 18, 19, 21, 22, 23, 24]
Test conds:     [3, 5, 11, 14, 20]
Epoch floor:    100000
Actual epochs:  646800 (extended)
Patience:       100 val-checks

Features:
  cagc_CE_ss
  cagc_eta10

Predictions vs targets (test set):
Sample  DA_true     DA_pred     AA_true     AA_pred     UA_true     UA_pred     
--------------------------------------------------------------------------------
1       5.0         49.8        200.0       208.7       400.0       186.7       
2       5.0         32.0        200.0       196.0       400.0       153.6       
3       5.0         29.2        200.0       183.5       400.0       154.9       
4       10.0        12.4        0.0         125.0       200.0       110.2       
5       10.0        9.8         0.0         120.6       200.0       99.7        
6       10.0        8.7         0.0         116.5       200.0       96.0        
7       20.0        26.9        200.0       164.5       0.0         148.4       
8       20.0        42.3        200.0       188.4       0.0         118.8       
9       20.0        43.4        200.0       184.3       0.0         122.4       
10      50.0        60.6        100.0       235.1       400.0       224.3       
11      50.0        64.3        100.0       237.0       400.0       234.2       
12      50.0        61.3        100.0       235.5       400.0       226.1       
13      100.0       78.4        400.0       244.0       100.0       271.8       
14      100.0       58.9        400.0       234.3       100.0       219.9       
15      100.0       53.6        400.0       222.5       100.0       202.0       
