Trial:          324
Mean RMSE:      100.4932 µM
RMSE DA:        25.0277 µM
RMSE AA:        110.2378 µM
RMSE UA:        166.2140 µM
Selected tests: cagc
N features:     2
Train conds:    [1, 2, 4, 6, 7, 8, 9, 10, 12, 13, 15, 16, 17, 18, 19, 21, 22, 23, 24]
Test conds:     [3, 5, 11, 14, 20]
Epoch floor:    100000
Actual epochs:  297400 (extended)
Patience:       100 val-checks

Features:
  cagc_AF
  cagc_eta10

Predictions vs targets (test set):
Sample  DA_true     DA_pred     AA_true     AA_pred     UA_true     UA_pred     
--------------------------------------------------------------------------------
1       5.0         51.7        200.0       207.1       400.0       176.6       
2       5.0         33.5        200.0       180.1       400.0       154.9       
3       5.0         30.3        200.0       174.2       400.0       152.9       
4       10.0        9.7         0.0         124.3       200.0       102.9       
5       10.0        7.9         0.0         122.2       200.0       95.8        
6       10.0        4.1         0.0         120.9       200.0       94.7        
7       20.0        27.4        200.0       166.1       0.0         147.4       
8       20.0        41.2        200.0       182.0       0.0         148.0       
9       20.0        43.0        200.0       183.5       0.0         144.0       
10      50.0        61.3        100.0       225.6       400.0       222.4       
11      50.0        64.4        100.0       234.8       400.0       235.1       
12      50.0        61.6        100.0       231.4       400.0       223.3       
13      100.0       77.6        400.0       250.0       100.0       289.4       
14      100.0       59.1        400.0       231.1       100.0       213.7       
15      100.0       54.8        400.0       220.7       100.0       194.1       
