Trial:          374
Mean RMSE:      100.8555 µM
RMSE DA:        24.7973 µM
RMSE AA:        111.2261 µM
RMSE UA:        166.5431 µM
Selected tests: cv, cagc
N features:     3
Train conds:    [1, 2, 4, 6, 7, 8, 9, 10, 12, 13, 15, 16, 17, 18, 19, 21, 22, 23, 24]
Test conds:     [3, 5, 11, 14, 20]
Epoch floor:    100000
Actual epochs:  605400 (extended)
Patience:       100 val-checks

Features:
  cagc_CE_1s
  cagc_AF
  cagc_eta10

Predictions vs targets (test set):
Sample  DA_true     DA_pred     AA_true     AA_pred     UA_true     UA_pred     
--------------------------------------------------------------------------------
1       5.0         54.5        200.0       213.2       400.0       169.6       
2       5.0         32.3        200.0       194.8       400.0       152.2       
3       5.0         28.8        200.0       176.8       400.0       150.7       
4       10.0        14.3        0.0         109.6       200.0       104.9       
5       10.0        7.5         0.0         134.6       200.0       122.5       
6       10.0        8.3         0.0         117.6       200.0       109.0       
7       20.0        28.8        200.0       138.5       0.0         129.5       
8       20.0        40.2        200.0       222.0       0.0         156.7       
9       20.0        42.3        200.0       230.9       0.0         158.6       
10      50.0        62.5        100.0       227.0       400.0       216.5       
11      50.0        64.7        100.0       235.1       400.0       232.5       
12      50.0        62.6        100.0       229.7       400.0       219.8       
13      100.0       73.1        400.0       260.2       100.0       292.3       
14      100.0       61.5        400.0       224.3       100.0       208.2       
15      100.0       58.6        400.0       215.6       100.0       182.0       
