Trial:          410
Mean RMSE:      109.3632 µM
RMSE DA:        32.8016 µM
RMSE AA:        126.9066 µM
RMSE UA:        168.3814 µM
Selected tests: cv, ca
N features:     3
Train conds:    [1, 2, 4, 6, 7, 8, 9, 10, 12, 13, 15, 16, 17, 18, 19, 21, 22, 23, 24]
Test conds:     [3, 5, 11, 14, 20]
Epoch floor:    100000
Actual epochs:  458800 (extended)
Patience:       100 val-checks

Features:
  ca_Iss
  ca_Q_early
  ca_Q_late

Predictions vs targets (test set):
Sample  DA_true     DA_pred     AA_true     AA_pred     UA_true     UA_pred     
--------------------------------------------------------------------------------
1       5.0         26.6        200.0       168.6       400.0       156.4       
2       5.0         26.6        200.0       168.6       400.0       156.4       
3       5.0         26.6        200.0       168.6       400.0       156.4       
4       10.0        26.6        0.0         168.6       200.0       156.4       
5       10.0        26.6        0.0         168.6       200.0       156.4       
6       10.0        26.6        0.0         168.6       200.0       156.4       
7       20.0        68.5        200.0       193.6       0.0         167.1       
8       20.0        55.8        200.0       187.3       0.0         190.3       
9       20.0        51.0        200.0       186.6       0.0         195.5       
10      50.0        54.1        100.0       146.9       400.0       193.9       
11      50.0        48.0        100.0       147.6       400.0       206.1       
12      50.0        44.3        100.0       151.9       400.0       203.1       
13      100.0       62.1        400.0       255.5       100.0       167.2       
14      100.0       42.3        400.0       147.1       100.0       201.5       
15      100.0       32.9        400.0       153.1       100.0       174.7       
