Trial:          413
Mean RMSE:      102.1132 µM
RMSE DA:        33.0116 µM
RMSE AA:        105.7182 µM
RMSE UA:        167.6100 µM
Selected tests: ca
N features:     3
Train conds:    [1, 2, 4, 6, 7, 8, 9, 10, 12, 13, 15, 16, 17, 18, 19, 21, 22, 23, 24]
Test conds:     [3, 5, 11, 14, 20]
Epoch floor:    100000
Actual epochs:  151400 (extended)
Patience:       100 val-checks

Features:
  ca_Iss
  ca_Q_early
  ca_Q_late_early

Predictions vs targets (test set):
Sample  DA_true     DA_pred     AA_true     AA_pred     UA_true     UA_pred     
--------------------------------------------------------------------------------
1       5.0         -5.7        200.0       347.6       400.0       252.2       
2       5.0         21.9        200.0       149.7       400.0       173.5       
3       5.0         9.5         200.0       193.5       400.0       198.1       
4       10.0        18.6        0.0         115.7       200.0       107.6       
5       10.0        10.3        0.0         121.1       200.0       92.3        
6       10.0        11.1        0.0         119.7       200.0       92.1        
7       20.0        81.2        200.0       152.2       0.0         161.6       
8       20.0        68.9        200.0       191.0       0.0         185.5       
9       20.0        54.3        200.0       233.6       0.0         211.6       
10      50.0        69.9        100.0       99.2        400.0       170.0       
11      50.0        59.8        100.0       162.7       400.0       180.7       
12      50.0        48.6        100.0       221.1       400.0       192.0       
13      100.0       62.2        400.0       298.3       100.0       191.8       
14      100.0       50.0        400.0       199.9       100.0       187.2       
15      100.0       35.8        400.0       231.4       100.0       200.7       
