Trial:          414
Mean RMSE:      107.1602 µM
RMSE DA:        37.3054 µM
RMSE AA:        121.1812 µM
RMSE UA:        162.9939 µM
Selected tests: cv, ca
N features:     3
Train conds:    [1, 2, 4, 6, 7, 8, 9, 10, 12, 13, 15, 16, 17, 18, 19, 21, 22, 23, 24]
Test conds:     [3, 5, 11, 14, 20]
Epoch floor:    100000
Actual epochs:  499200 (extended)
Patience:       100 val-checks

Features:
  ca_Iss
  ca_cott_R2
  ca_Q_early

Predictions vs targets (test set):
Sample  DA_true     DA_pred     AA_true     AA_pred     UA_true     UA_pred     
--------------------------------------------------------------------------------
1       5.0         14.1        200.0       207.6       400.0       213.6       
2       5.0         -6.6        200.0       338.2       400.0       293.2       
3       5.0         11.0        200.0       240.8       400.0       214.3       
4       10.0        14.1        0.0         98.4        200.0       92.4        
5       10.0        18.7        0.0         165.8       200.0       135.6       
6       10.0        18.7        0.0         143.8       200.0       119.9       
7       20.0        71.0        200.0       234.5       0.0         197.5       
8       20.0        80.9        200.0       139.2       0.0         144.1       
9       20.0        84.7        200.0       105.8       0.0         134.1       
10      50.0        62.8        100.0       174.4       400.0       186.4       
11      50.0        73.8        100.0       96.2        400.0       139.2       
12      50.0        68.5        100.0       60.5        400.0       131.2       
13      100.0       67.0        400.0       268.9       100.0       183.3       
14      100.0       38.3        400.0       213.8       100.0       230.9       
15      100.0       36.8        400.0       137.6       100.0       189.3       
