Trial:          482
Mean RMSE:      108.1096 µM
RMSE DA:        34.6500 µM
RMSE AA:        134.1977 µM
RMSE UA:        155.4810 µM
Selected tests: cv, ca
N features:     3
Train conds:    [1, 2, 4, 6, 7, 8, 9, 10, 12, 13, 15, 16, 17, 18, 19, 21, 22, 23, 24]
Test conds:     [3, 5, 11, 14, 20]
Epoch floor:    100000
Actual epochs:  120000 (extended)
Patience:       100 val-checks

Features:
  ca_Iss
  ca_cott_R2
  ca_Q_late_early

Predictions vs targets (test set):
Sample  DA_true     DA_pred     AA_true     AA_pred     UA_true     UA_pred     
--------------------------------------------------------------------------------
1       5.0         -1.0        200.0       343.4       400.0       233.0       
2       5.0         24.9        200.0       385.7       400.0       254.2       
3       5.0         16.7        200.0       360.8       400.0       264.7       
4       10.0        16.4        0.0         55.6        200.0       99.9        
5       10.0        17.5        0.0         173.1       200.0       99.6        
6       10.0        16.4        0.0         138.0       200.0       94.7        
7       20.0        70.1        200.0       182.1       0.0         152.0       
8       20.0        68.9        200.0       165.9       0.0         183.7       
9       20.0        71.5        200.0       193.1       0.0         188.8       
10      50.0        58.1        100.0       170.4       400.0       185.8       
11      50.0        58.9        100.0       157.5       400.0       177.3       
12      50.0        51.8        100.0       157.7       400.0       170.7       
13      100.0       78.7        400.0       174.0       100.0       162.1       
14      100.0       33.1        400.0       244.8       100.0       213.7       
15      100.0       31.7        400.0       179.1       100.0       180.9       
