Trial:          486
Mean RMSE:      106.0814 µM
RMSE DA:        31.4242 µM
RMSE AA:        108.5338 µM
RMSE UA:        178.2861 µM
Selected tests: cv, ca
N features:     2
Train conds:    [1, 2, 4, 6, 7, 8, 9, 10, 12, 13, 15, 16, 17, 18, 19, 21, 22, 23, 24]
Test conds:     [3, 5, 11, 14, 20]
Epoch floor:    100000
Actual epochs:  120000 (extended)
Patience:       100 val-checks

Features:
  ca_Iss
  ca_Q_late_early

Predictions vs targets (test set):
Sample  DA_true     DA_pred     AA_true     AA_pred     UA_true     UA_pred     
--------------------------------------------------------------------------------
1       5.0         41.7        200.0       258.8       400.0       150.5       
2       5.0         23.6        200.0       157.6       400.0       168.0       
3       5.0         25.1        200.0       191.6       400.0       159.9       
4       10.0        18.7        0.0         122.7       200.0       124.1       
5       10.0        7.5         0.0         108.6       200.0       105.9       
6       10.0        9.9         0.0         112.2       200.0       108.9       
7       20.0        62.8        200.0       239.4       0.0         177.4       
8       20.0        59.5        200.0       196.1       0.0         198.4       
9       20.0        56.2        200.0       206.9       0.0         191.9       
10      50.0        51.5        100.0       182.5       400.0       186.5       
11      50.0        44.2        100.0       195.4       400.0       172.5       
12      50.0        43.6        100.0       214.4       400.0       164.0       
13      100.0       75.1        400.0       232.2       100.0       209.4       
14      100.0       40.7        400.0       205.6       100.0       162.8       
15      100.0       39.0        400.0       211.9       100.0       159.2       
