Trial:          58
Mean RMSE:      104.9262 µM
RMSE DA:        29.9113 µM
RMSE AA:        113.4170 µM
RMSE UA:        171.4502 µM
Selected tests: ca
N features:     4
Train conds:    [1, 2, 4, 6, 7, 8, 9, 10, 12, 13, 15, 16, 17, 18, 19, 21, 22, 23, 24]
Test conds:     [3, 5, 11, 14, 20]
Epoch floor:    100000
Actual epochs:  914800 (extended)
Patience:       100 val-checks

Features:
  ca_I0
  ca_Iss
  ca_Q_early
  ca_Q_late

Predictions vs targets (test set):
Sample  DA_true     DA_pred     AA_true     AA_pred     UA_true     UA_pred     
--------------------------------------------------------------------------------
1       5.0         11.5        200.0       230.8       400.0       178.5       
2       5.0         20.5        200.0       150.8       400.0       155.1       
3       5.0         10.5        200.0       167.6       400.0       155.5       
4       10.0        10.8        0.0         124.7       200.0       138.3       
5       10.0        13.2        0.0         124.8       200.0       138.7       
6       10.0        9.3         0.0         123.9       200.0       136.6       
7       20.0        71.0        200.0       184.6       0.0         169.2       
8       20.0        71.1        200.0       183.5       0.0         169.1       
9       20.0        53.1        200.0       290.4       0.0         191.6       
10      50.0        70.6        100.0       181.3       400.0       169.0       
11      50.0        66.6        100.0       157.9       400.0       167.9       
12      50.0        47.3        100.0       260.7       400.0       203.6       
13      100.0       69.4        400.0       263.0       100.0       175.1       
14      100.0       62.2        400.0       171.1       100.0       180.8       
15      100.0       39.0        400.0       237.4       100.0       192.8       
