Trial:          60
Mean RMSE:      108.3943 µM
RMSE DA:        26.3459 µM
RMSE AA:        133.2984 µM
RMSE UA:        165.5385 µM
Selected tests: cv, cagc
N features:     4
Train conds:    [1, 2, 4, 6, 7, 8, 9, 10, 12, 13, 15, 16, 17, 18, 19, 21, 22, 23, 24]
Test conds:     [3, 5, 11, 14, 20]
Epoch floor:    100000
Actual epochs:  645200 (extended)
Patience:       100 val-checks

Features:
  cagc_CE_1s
  cagc_CE_ss
  cagc_AF
  cagc_eta10

Predictions vs targets (test set):
Sample  DA_true     DA_pred     AA_true     AA_pred     UA_true     UA_pred     
--------------------------------------------------------------------------------
1       5.0         58.0        200.0       213.0       400.0       194.5       
2       5.0         36.3        200.0       179.9       400.0       168.1       
3       5.0         30.8        200.0       145.5       400.0       166.7       
4       10.0        12.8        0.0         170.6       200.0       104.2       
5       10.0        11.5        0.0         209.7       200.0       95.8        
6       10.0        11.3        0.0         210.3       200.0       85.5        
7       20.0        24.2        200.0       84.3        0.0         152.2       
8       20.0        42.6        200.0       202.5       0.0         167.7       
9       20.0        44.5        200.0       204.3       0.0         169.9       
10      50.0        63.8        100.0       229.6       400.0       211.4       
11      50.0        62.6        100.0       242.3       400.0       225.8       
12      50.0        61.9        100.0       236.1       400.0       220.0       
13      100.0       63.0        400.0       275.1       100.0       259.4       
14      100.0       62.0        400.0       231.1       100.0       214.8       
15      100.0       61.2        400.0       219.7       100.0       202.3       
