Trial:          84
Mean RMSE:      102.0882 µM
RMSE DA:        23.9318 µM
RMSE AA:        117.6044 µM
RMSE UA:        164.7283 µM
Selected tests: cagc
N features:     4
Train conds:    [1, 2, 4, 6, 7, 8, 9, 10, 12, 13, 15, 16, 17, 18, 19, 21, 22, 23, 24]
Test conds:     [3, 5, 11, 14, 20]
Epoch floor:    100000
Actual epochs:  384000 (extended)
Patience:       100 val-checks

Features:
  cagc_CE_1s
  cagc_CE_ss
  cagc_AF
  cagc_eta10

Predictions vs targets (test set):
Sample  DA_true     DA_pred     AA_true     AA_pred     UA_true     UA_pred     
--------------------------------------------------------------------------------
1       5.0         49.1        200.0       206.9       400.0       204.2       
2       5.0         29.5        200.0       163.8       400.0       160.4       
3       5.0         24.3        200.0       147.8       400.0       140.8       
4       10.0        21.8        0.0         135.8       200.0       125.3       
5       10.0        18.7        0.0         149.7       200.0       111.1       
6       10.0        19.0        0.0         143.2       200.0       111.1       
7       20.0        19.8        200.0       122.5       0.0         109.1       
8       20.0        37.5        200.0       173.1       0.0         183.1       
9       20.0        39.9        200.0       182.0       0.0         186.6       
10      50.0        62.7        100.0       230.4       400.0       219.2       
11      50.0        65.3        100.0       238.7       400.0       224.7       
12      50.0        62.1        100.0       232.4       400.0       220.6       
13      100.0       78.2        400.0       270.7       100.0       246.4       
14      100.0       60.0        400.0       226.8       100.0       216.6       
15      100.0       54.6        400.0       214.3       100.0       208.3       
