Trial:          88
Mean RMSE:      99.8123 µM
RMSE DA:        24.4894 µM
RMSE AA:        106.9198 µM
RMSE UA:        168.0276 µM
Selected tests: cagc
N features:     1
Train conds:    [1, 2, 4, 6, 7, 8, 9, 10, 12, 13, 15, 16, 17, 18, 19, 21, 22, 23, 24]
Test conds:     [3, 5, 11, 14, 20]
Epoch floor:    100000
Actual epochs:  211200 (extended)
Patience:       100 val-checks

Features:
  cagc_eta10

Predictions vs targets (test set):
Sample  DA_true     DA_pred     AA_true     AA_pred     UA_true     UA_pred     
--------------------------------------------------------------------------------
1       5.0         50.4        200.0       214.0       400.0       181.3       
2       5.0         31.3        200.0       182.7       400.0       153.8       
3       5.0         29.4        200.0       174.7       400.0       147.5       
4       10.0        14.0        0.0         111.7       200.0       96.5        
5       10.0        12.1        0.0         103.9       200.0       90.3        
6       10.0        10.9        0.0         99.3        200.0       86.5        
7       20.0        26.2        200.0       161.5       0.0         136.8       
8       20.0        40.3        200.0       195.2       0.0         160.3       
9       20.0        41.5        200.0       198.9       0.0         156.0       
10      50.0        60.9        100.0       229.2       400.0       219.4       
11      50.0        64.4        100.0       234.2       400.0       232.0       
12      50.0        61.5        100.0       230.0       400.0       221.5       
13      100.0       77.6        400.0       253.2       100.0       279.7       
14      100.0       59.3        400.0       226.8       100.0       213.5       
15      100.0       54.2        400.0       219.5       100.0       195.1       
