Trial:          119
Mean RMSE:      104.1912 µM
RMSE DA:        30.2365 µM
RMSE AA:        131.4693 µM
RMSE UA:        150.8678 µM
Selected tests: ca
N features:     2
Train conds:    [1, 2, 4, 6, 7, 8, 9, 10, 12, 13, 15, 16, 17, 18, 19, 21, 22, 23, 24]
Test conds:     [3, 5, 11, 14, 20]
Epoch floor:    100000
Actual epochs:  351800 (extended)
Patience:       100 val-checks

Features:
  ca_cott_slope
  ca_Q_early

Predictions vs targets (test set):
Sample  DA_true     DA_pred     AA_true     AA_pred     UA_true     UA_pred     
--------------------------------------------------------------------------------
1       5.0         18.7        200.0       333.1       400.0       283.0       
2       5.0         13.5        200.0       167.6       400.0       179.1       
3       5.0         8.4         200.0       236.3       400.0       231.3       
4       10.0        4.1         0.0         145.5       200.0       168.7       
5       10.0        16.2        0.0         119.0       200.0       121.3       
6       10.0        5.9         0.0         111.6       200.0       138.2       
7       20.0        74.5        200.0       173.4       0.0         148.8       
8       20.0        65.0        200.0       149.0       0.0         154.3       
9       20.0        55.4        200.0       178.9       0.0         163.0       
10      50.0        64.8        100.0       145.3       400.0       155.0       
11      50.0        58.2        100.0       138.9       400.0       167.8       
12      50.0        40.5        100.0       265.5       400.0       202.5       
13      100.0       60.4        400.0       225.3       100.0       145.0       
14      100.0       57.7        400.0       109.2       100.0       165.6       
15      100.0       42.0        400.0       196.0       100.0       187.6       
