Trial:          139
Mean RMSE:      103.2682 µM
RMSE DA:        36.1124 µM
RMSE AA:        118.3604 µM
RMSE UA:        155.3319 µM
Selected tests: ca
N features:     3
Train conds:    [1, 2, 4, 6, 7, 8, 9, 10, 12, 13, 15, 16, 17, 18, 19, 21, 22, 23, 24]
Test conds:     [3, 5, 11, 14, 20]
Epoch floor:    100000
Actual epochs:  315600 (extended)
Patience:       100 val-checks

Features:
  ca_Iss_I0
  ca_cott_R2
  ca_Q_early

Predictions vs targets (test set):
Sample  DA_true     DA_pred     AA_true     AA_pred     UA_true     UA_pred     
--------------------------------------------------------------------------------
1       5.0         27.1        200.0       252.7       400.0       245.3       
2       5.0         14.0        200.0       285.6       400.0       345.2       
3       5.0         18.5        200.0       264.7       400.0       265.5       
4       10.0        28.2        0.0         67.5        200.0       27.3        
5       10.0        12.4        0.0         150.2       200.0       136.9       
6       10.0        17.1        0.0         136.7       200.0       109.7       
7       20.0        77.4        200.0       204.6       0.0         115.1       
8       20.0        76.1        200.0       134.4       0.0         127.1       
9       20.0        67.9        200.0       173.3       0.0         176.3       
10      50.0        50.7        100.0       224.7       400.0       173.9       
11      50.0        64.8        100.0       108.4       400.0       131.1       
12      50.0        69.0        100.0       83.5        400.0       133.5       
13      100.0       77.0        400.0       207.0       100.0       150.8       
14      100.0       29.6        400.0       228.6       100.0       206.1       
15      100.0       39.8        400.0       150.1       100.0       178.7       
