Trial:          147
Mean RMSE:      100.8975 µM
RMSE DA:        26.3945 µM
RMSE AA:        111.7342 µM
RMSE UA:        164.5638 µM
Selected tests: cagc
N features:     4
Train conds:    [1, 2, 4, 6, 7, 8, 9, 10, 12, 13, 15, 16, 17, 18, 19, 21, 22, 23, 24]
Test conds:     [3, 5, 11, 14, 20]
Epoch floor:    100000
Actual epochs:  505600 (extended)
Patience:       100 val-checks

Features:
  cagc_CE_1s
  cagc_CE_10s
  cagc_CE_ss
  cagc_AF

Predictions vs targets (test set):
Sample  DA_true     DA_pred     AA_true     AA_pred     UA_true     UA_pred     
--------------------------------------------------------------------------------
1       5.0         53.9        200.0       234.5       400.0       195.2       
2       5.0         39.2        200.0       192.5       400.0       179.7       
3       5.0         34.5        200.0       171.0       400.0       175.4       
4       10.0        16.4        0.0         119.0       200.0       121.7       
5       10.0        17.8        0.0         132.1       200.0       116.0       
6       10.0        17.2        0.0         126.5       200.0       112.8       
7       20.0        23.3        200.0       111.1       0.0         162.3       
8       20.0        44.0        200.0       198.9       0.0         186.2       
9       20.0        46.0        200.0       207.3       0.0         188.0       
10      50.0        58.0        100.0       229.2       400.0       203.9       
11      50.0        62.0        100.0       241.7       400.0       209.5       
12      50.0        60.7        100.0       241.2       400.0       207.2       
13      100.0       67.4        400.0       252.1       100.0       217.3       
14      100.0       61.2        400.0       242.1       100.0       208.1       
15      100.0       58.6        400.0       238.4       100.0       203.9       
