Trial:          181
Mean RMSE:      103.9422 µM
RMSE DA:        30.3210 µM
RMSE AA:        111.7025 µM
RMSE UA:        169.8029 µM
Selected tests: ca
N features:     1
Train conds:    [1, 2, 4, 6, 7, 8, 9, 10, 12, 13, 15, 16, 17, 18, 19, 21, 22, 23, 24]
Test conds:     [3, 5, 11, 14, 20]
Epoch floor:    100000
Actual epochs:  567400 (extended)
Patience:       100 val-checks

Features:
  ca_Q_early

Predictions vs targets (test set):
Sample  DA_true     DA_pred     AA_true     AA_pred     UA_true     UA_pred     
--------------------------------------------------------------------------------
1       5.0         25.7        200.0       177.5       400.0       172.7       
2       5.0         18.6        200.0       150.1       400.0       158.9       
3       5.0         16.5        200.0       141.8       400.0       154.8       
4       10.0        11.6        0.0         122.9       200.0       145.3       
5       10.0        13.6        0.0         130.4       200.0       149.0       
6       10.0        11.3        0.0         121.5       200.0       144.6       
7       20.0        71.2        200.0       223.3       0.0         154.6       
8       20.0        60.7        200.0       204.2       0.0         164.5       
9       20.0        57.4        200.0       198.1       0.0         167.7       
10      50.0        60.0        100.0       202.9       400.0       165.2       
11      50.0        54.2        100.0       187.6       400.0       172.4       
12      50.0        55.7        100.0       187.3       400.0       175.3       
13      100.0       66.8        400.0       215.2       100.0       158.8       
14      100.0       50.9        400.0       201.8       100.0       178.9       
15      100.0       39.3        400.0       215.6       100.0       187.5       
