Trial:          227
Mean RMSE:      108.6728 µM
RMSE DA:        32.7393 µM
RMSE AA:        138.9264 µM
RMSE UA:        154.3527 µM
Selected tests: cv, ca
N features:     4
Train conds:    [1, 2, 4, 6, 7, 8, 9, 10, 12, 13, 15, 16, 17, 18, 19, 21, 22, 23, 24]
Test conds:     [3, 5, 11, 14, 20]
Epoch floor:    100000
Actual epochs:  207600 (extended)
Patience:       100 val-checks

Features:
  ca_Iss
  ca_Iss_I0
  ca_cott_slope
  ca_cott_R2

Predictions vs targets (test set):
Sample  DA_true     DA_pred     AA_true     AA_pred     UA_true     UA_pred     
--------------------------------------------------------------------------------
1       5.0         21.0        200.0       235.5       400.0       219.7       
2       5.0         7.2         200.0       480.1       400.0       307.8       
3       5.0         4.6         200.0       304.8       400.0       233.4       
4       10.0        8.4         0.0         44.5        200.0       75.4        
5       10.0        20.2        0.0         160.0       200.0       139.0       
6       10.0        12.5        0.0         130.6       200.0       124.0       
7       20.0        78.0        200.0       182.8       0.0         127.4       
8       20.0        75.2        200.0       140.9       0.0         182.7       
9       20.0        60.2        200.0       227.3       0.0         221.0       
10      50.0        57.0        100.0       179.2       400.0       183.5       
11      50.0        62.1        100.0       152.9       400.0       180.2       
12      50.0        57.3        100.0       187.0       400.0       196.2       
13      100.0       66.1        400.0       231.7       100.0       227.7       
14      100.0       44.0        400.0       170.4       100.0       177.3       
15      100.0       43.9        400.0       172.1       100.0       178.2       
