Trial:          251
Mean RMSE:      107.5678 µM
RMSE DA:        27.7739 µM
RMSE AA:        123.9883 µM
RMSE UA:        170.9412 µM
Selected tests: cv, cagc
N features:     3
Train conds:    [1, 2, 4, 6, 7, 8, 9, 10, 12, 13, 15, 16, 17, 18, 19, 21, 22, 23, 24]
Test conds:     [3, 5, 11, 14, 20]
Epoch floor:    100000
Actual epochs:  436600 (extended)
Patience:       100 val-checks

Features:
  cagc_CE_10s
  cagc_CE_ss
  cagc_eta10

Predictions vs targets (test set):
Sample  DA_true     DA_pred     AA_true     AA_pred     UA_true     UA_pred     
--------------------------------------------------------------------------------
1       5.0         54.1        200.0       225.1       400.0       189.8       
2       5.0         35.3        200.0       142.4       400.0       176.8       
3       5.0         31.4        200.0       125.3       400.0       180.8       
4       10.0        16.6        0.0         143.5       200.0       88.5        
5       10.0        16.7        0.0         172.5       200.0       59.1        
6       10.0        16.6        0.0         171.9       200.0       54.5        
7       20.0        27.6        200.0       112.5       0.0         186.1       
8       20.0        46.5        200.0       193.3       0.0         174.2       
9       20.0        50.1        200.0       207.1       0.0         175.0       
10      50.0        56.3        100.0       244.2       400.0       208.8       
11      50.0        57.0        100.0       251.0       400.0       214.9       
12      50.0        56.4        100.0       245.3       400.0       209.8       
13      100.0       59.4        400.0       278.2       100.0       240.3       
14      100.0       56.0        400.0       240.8       100.0       205.8       
15      100.0       55.0        400.0       231.0       100.0       196.8       
