Trial:          252
Mean RMSE:      100.2761 µM
RMSE DA:        24.8569 µM
RMSE AA:        107.0816 µM
RMSE UA:        168.8898 µM
Selected tests: cagc
N features:     3
Train conds:    [1, 2, 4, 6, 7, 8, 9, 10, 12, 13, 15, 16, 17, 18, 19, 21, 22, 23, 24]
Test conds:     [3, 5, 11, 14, 20]
Epoch floor:    100000
Actual epochs:  962000 (extended)
Patience:       100 val-checks

Features:
  cagc_CE_1s
  cagc_CE_10s
  cagc_eta10

Predictions vs targets (test set):
Sample  DA_true     DA_pred     AA_true     AA_pred     UA_true     UA_pred     
--------------------------------------------------------------------------------
1       5.0         52.9        200.0       219.8       400.0       156.0       
2       5.0         28.9        200.0       217.6       400.0       162.6       
3       5.0         26.4        200.0       176.4       400.0       164.3       
4       10.0        16.5        0.0         112.4       200.0       102.5       
5       10.0        15.8        0.0         109.9       200.0       98.9        
6       10.0        14.6        0.0         105.2       200.0       92.1        
7       20.0        25.4        200.0       147.3       0.0         152.6       
8       20.0        44.2        200.0       227.4       0.0         131.0       
9       20.0        45.5        200.0       221.2       0.0         124.7       
10      50.0        61.0        100.0       221.2       400.0       199.7       
11      50.0        64.1        100.0       229.7       400.0       224.1       
12      50.0        61.6        100.0       226.1       400.0       207.7       
13      100.0       76.3        400.0       263.9       100.0       317.8       
14      100.0       59.8        400.0       222.0       100.0       194.1       
15      100.0       55.9        400.0       217.3       100.0       168.8       
