Trial:          276
Mean RMSE:      100.9816 µM
RMSE DA:        33.5240 µM
RMSE AA:        115.2668 µM
RMSE UA:        154.1539 µM
Selected tests: ca
N features:     4
Train conds:    [1, 2, 4, 6, 7, 8, 9, 10, 12, 13, 15, 16, 17, 18, 19, 21, 22, 23, 24]
Test conds:     [3, 5, 11, 14, 20]
Epoch floor:    100000
Actual epochs:  1101800 (extended)
Patience:       100 val-checks

Features:
  ca_I0
  ca_Iss_I0
  ca_cott_slope
  ca_cott_R2

Predictions vs targets (test set):
Sample  DA_true     DA_pred     AA_true     AA_pred     UA_true     UA_pred     
--------------------------------------------------------------------------------
1       5.0         26.3        200.0       262.0       400.0       248.7       
2       5.0         26.8        200.0       262.1       400.0       248.2       
3       5.0         10.3        200.0       259.9       400.0       265.1       
4       10.0        5.0         0.0         89.3        200.0       117.6       
5       10.0        18.2        0.0         132.7       200.0       141.6       
6       10.0        8.6         0.0         126.2       200.0       146.8       
7       20.0        77.5        200.0       180.7       0.0         126.7       
8       20.0        93.0        200.0       150.4       0.0         209.3       
9       20.0        40.6        200.0       245.7       0.0         151.8       
10      50.0        51.1        100.0       135.4       400.0       124.3       
11      50.0        71.0        100.0       146.3       400.0       213.3       
12      50.0        51.8        100.0       176.1       400.0       172.1       
13      100.0       89.9        400.0       236.1       100.0       235.2       
14      100.0       49.4        400.0       175.4       100.0       205.8       
15      100.0       39.7        400.0       165.3       100.0       164.0       
