Trial:          292
Mean RMSE:      109.1651 µM
RMSE DA:        29.0670 µM
RMSE AA:        136.0988 µM
RMSE UA:        162.3295 µM
Selected tests: cv, ca
N features:     4
Train conds:    [1, 2, 4, 6, 7, 8, 9, 10, 12, 13, 15, 16, 17, 18, 19, 21, 22, 23, 24]
Test conds:     [3, 5, 11, 14, 20]
Epoch floor:    100000
Actual epochs:  120000 (extended)
Patience:       100 val-checks

Features:
  ca_I0
  ca_Iss
  ca_cott_slope
  ca_cott_R2

Predictions vs targets (test set):
Sample  DA_true     DA_pred     AA_true     AA_pred     UA_true     UA_pred     
--------------------------------------------------------------------------------
1       5.0         29.2        200.0       184.2       400.0       172.8       
2       5.0         8.1         200.0       173.9       400.0       178.9       
3       5.0         10.8        200.0       179.0       400.0       190.1       
4       10.0        26.2        0.0         200.0       200.0       181.4       
5       10.0        14.2        0.0         181.9       200.0       186.6       
6       10.0        14.9        0.0         184.4       200.0       187.8       
7       20.0        64.3        200.0       216.8       0.0         110.9       
8       20.0        60.6        200.0       161.2       0.0         156.1       
9       20.0        49.3        200.0       130.2       0.0         163.7       
10      50.0        39.9        100.0       184.0       400.0       150.8       
11      50.0        56.9        100.0       145.0       400.0       166.6       
12      50.0        57.6        100.0       102.3       400.0       159.6       
13      100.0       71.1        400.0       188.4       100.0       171.9       
14      100.0       42.7        400.0       192.4       100.0       164.7       
15      100.0       45.7        400.0       143.5       100.0       153.5       
