Trial:          294
Mean RMSE:      94.0765 µM
RMSE DA:        29.3329 µM
RMSE AA:        90.9684 µM
RMSE UA:        161.9283 µM
Selected tests: cv, cagc
N features:     2
Train conds:    [1, 2, 4, 6, 7, 8, 9, 10, 12, 13, 15, 16, 17, 18, 19, 21, 22, 23, 24]
Test conds:     [3, 5, 11, 14, 20]
Epoch floor:    100000
Actual epochs:  1936800 (extended)
Patience:       100 val-checks

Features:
  cagc_CE_10s
  cagc_AF

Predictions vs targets (test set):
Sample  DA_true     DA_pred     AA_true     AA_pred     UA_true     UA_pred     
--------------------------------------------------------------------------------
1       5.0         55.0        200.0       222.4       400.0       196.0       
2       5.0         31.1        200.0       192.5       400.0       159.9       
3       5.0         25.6        200.0       185.4       400.0       150.5       
4       10.0        48.9        0.0         -13.8       200.0       173.8       
5       10.0        26.5        0.0         93.2        200.0       116.4       
6       10.0        25.3        0.0         95.8        200.0       107.0       
7       20.0        14.7        200.0       171.9       0.0         127.0       
8       20.0        36.5        200.0       232.4       0.0         169.4       
9       20.0        39.2        200.0       234.2       0.0         173.5       
10      50.0        70.3        100.0       190.8       400.0       217.0       
11      50.0        60.6        100.0       261.8       400.0       211.1       
12      50.0        59.3        100.0       257.5       400.0       207.9       
13      100.0       63.3        400.0       288.0       100.0       221.7       
14      100.0       53.4        400.0       280.0       100.0       202.7       
15      100.0       50.2        400.0       273.2       100.0       195.6       
