Trial:          312
Mean RMSE:      101.2560 µM
RMSE DA:        30.6447 µM
RMSE AA:        105.7131 µM
RMSE UA:        167.4103 µM
Selected tests: ca
N features:     2
Train conds:    [1, 2, 4, 6, 7, 8, 9, 10, 12, 13, 15, 16, 17, 18, 19, 21, 22, 23, 24]
Test conds:     [3, 5, 11, 14, 20]
Epoch floor:    100000
Actual epochs:  437400 (extended)
Patience:       100 val-checks

Features:
  ca_Q_late
  ca_Q_late_early

Predictions vs targets (test set):
Sample  DA_true     DA_pred     AA_true     AA_pred     UA_true     UA_pred     
--------------------------------------------------------------------------------
1       5.0         31.9        200.0       259.8       400.0       252.8       
2       5.0         26.1        200.0       162.1       400.0       196.7       
3       5.0         26.2        200.0       167.1       400.0       204.0       
4       10.0        16.7        0.0         119.6       200.0       121.9       
5       10.0        10.7        0.0         96.9        200.0       71.2        
6       10.0        11.3        0.0         100.9       200.0       80.5        
7       20.0        61.2        200.0       226.4       0.0         150.7       
8       20.0        49.1        200.0       243.5       0.0         195.1       
9       20.0        44.7        200.0       260.7       0.0         218.8       
10      50.0        49.0        100.0       186.3       400.0       156.7       
11      50.0        42.9        100.0       206.7       400.0       187.3       
12      50.0        41.2        100.0       227.7       400.0       206.1       
13      100.0       56.5        400.0       308.0       100.0       218.6       
14      100.0       40.9        400.0       203.0       100.0       190.2       
15      100.0       38.8        400.0       202.6       100.0       195.6       
