Trial:          315
Mean RMSE:      103.7768 µM
RMSE DA:        24.2825 µM
RMSE AA:        120.0599 µM
RMSE UA:        166.9881 µM
Selected tests: cagc
N features:     3
Train conds:    [1, 2, 4, 6, 7, 8, 9, 10, 12, 13, 15, 16, 17, 18, 19, 21, 22, 23, 24]
Test conds:     [3, 5, 11, 14, 20]
Epoch floor:    100000
Actual epochs:  120000 (extended)
Patience:       100 val-checks

Features:
  cagc_CE_1s
  cagc_AF
  cagc_eta10

Predictions vs targets (test set):
Sample  DA_true     DA_pred     AA_true     AA_pred     UA_true     UA_pred     
--------------------------------------------------------------------------------
1       5.0         52.2        200.0       215.7       400.0       198.5       
2       5.0         29.7        200.0       141.8       400.0       146.4       
3       5.0         28.6        200.0       140.2       400.0       145.0       
4       10.0        14.5        0.0         151.0       200.0       98.5        
5       10.0        14.8        0.0         148.6       200.0       95.3        
6       10.0        12.0        0.0         146.4       200.0       86.5        
7       20.0        20.8        200.0       152.6       0.0         130.0       
8       20.0        34.3        200.0       138.0       0.0         157.0       
9       20.0        38.8        200.0       147.5       0.0         166.8       
10      50.0        61.8        100.0       240.1       400.0       217.1       
11      50.0        62.5        100.0       249.7       400.0       226.1       
12      50.0        60.2        100.0       246.2       400.0       220.0       
13      100.0       72.3        400.0       258.7       100.0       253.5       
14      100.0       58.5        400.0       246.6       100.0       216.0       
15      100.0       55.9        400.0       235.8       100.0       208.0       
