Trial:          323
Mean RMSE:      109.8969 µM
RMSE DA:        31.4472 µM
RMSE AA:        132.3779 µM
RMSE UA:        165.8657 µM
Selected tests: cv, ca
N features:     2
Train conds:    [1, 2, 4, 6, 7, 8, 9, 10, 12, 13, 15, 16, 17, 18, 19, 21, 22, 23, 24]
Test conds:     [3, 5, 11, 14, 20]
Epoch floor:    100000
Actual epochs:  255400 (extended)
Patience:       100 val-checks

Features:
  ca_I0
  ca_cott_R2

Predictions vs targets (test set):
Sample  DA_true     DA_pred     AA_true     AA_pred     UA_true     UA_pred     
--------------------------------------------------------------------------------
1       5.0         5.7         200.0       136.2       400.0       115.5       
2       5.0         21.8        200.0       239.6       400.0       292.6       
3       5.0         0.3         200.0       154.1       400.0       166.6       
4       10.0        14.6        0.0         160.2       200.0       143.0       
5       10.0        19.8        0.0         196.2       200.0       207.0       
6       10.0        9.8         0.0         166.6       200.0       169.5       
7       20.0        78.5        200.0       202.6       0.0         130.4       
8       20.0        77.8        200.0       141.3       0.0         138.5       
9       20.0        62.3        200.0       103.6       0.0         130.6       
10      50.0        58.4        100.0       165.0       400.0       149.6       
11      50.0        65.1        100.0       144.1       400.0       143.0       
12      50.0        56.8        100.0       116.4       400.0       136.1       
13      100.0       88.1        400.0       176.2       100.0       149.1       
14      100.0       49.9        400.0       202.5       100.0       165.4       
15      100.0       46.3        400.0       165.7       100.0       156.6       
