Trial:          325
Mean RMSE:      101.9601 µM
RMSE DA:        31.4904 µM
RMSE AA:        115.5301 µM
RMSE UA:        158.8598 µM
Selected tests: ca
N features:     3
Train conds:    [1, 2, 4, 6, 7, 8, 9, 10, 12, 13, 15, 16, 17, 18, 19, 21, 22, 23, 24]
Test conds:     [3, 5, 11, 14, 20]
Epoch floor:    100000
Actual epochs:  196800 (extended)
Patience:       100 val-checks

Features:
  ca_Iss_I0
  ca_Q_late
  ca_Q_late_early

Predictions vs targets (test set):
Sample  DA_true     DA_pred     AA_true     AA_pred     UA_true     UA_pred     
--------------------------------------------------------------------------------
1       5.0         16.7        200.0       274.5       400.0       309.2       
2       5.0         24.6        200.0       165.4       400.0       175.9       
3       5.0         15.8        200.0       186.5       400.0       189.3       
4       10.0        12.9        0.0         104.2       200.0       119.4       
5       10.0        14.1        0.0         103.5       200.0       84.5        
6       10.0        12.8        0.0         106.4       200.0       91.2        
7       20.0        63.7        200.0       223.2       0.0         109.7       
8       20.0        53.9        200.0       156.2       0.0         146.9       
9       20.0        45.9        200.0       182.1       0.0         152.2       
10      50.0        55.3        100.0       219.0       400.0       137.3       
11      50.0        45.6        100.0       185.9       400.0       166.7       
12      50.0        37.4        100.0       222.4       400.0       212.3       
13      100.0       57.9        400.0       146.5       100.0       137.8       
14      100.0       36.3        400.0       228.0       100.0       212.3       
15      100.0       33.3        400.0       234.9       100.0       220.2       
