Trial:          327
Mean RMSE:      102.3121 µM
RMSE DA:        24.8288 µM
RMSE AA:        120.5659 µM
RMSE UA:        161.5415 µM
Selected tests: cagc
N features:     3
Train conds:    [1, 2, 4, 6, 7, 8, 9, 10, 12, 13, 15, 16, 17, 18, 19, 21, 22, 23, 24]
Test conds:     [3, 5, 11, 14, 20]
Epoch floor:    100000
Actual epochs:  985800 (extended)
Patience:       100 val-checks

Features:
  cagc_CE_1s
  cagc_CE_10s
  cagc_AF

Predictions vs targets (test set):
Sample  DA_true     DA_pred     AA_true     AA_pred     UA_true     UA_pred     
--------------------------------------------------------------------------------
1       5.0         49.6        200.0       209.5       400.0       195.1       
2       5.0         38.5        200.0       176.0       400.0       166.1       
3       5.0         31.2        200.0       155.8       400.0       143.0       
4       10.0        13.9        0.0         138.4       200.0       92.8        
5       10.0        16.0        0.0         173.4       200.0       109.1       
6       10.0        14.6        0.0         153.9       200.0       101.8       
7       20.0        18.7        200.0       117.3       0.0         84.5        
8       20.0        37.1        200.0       173.5       0.0         155.1       
9       20.0        39.8        200.0       181.2       0.0         163.6       
10      50.0        62.5        100.0       243.7       400.0       219.5       
11      50.0        63.4        100.0       246.3       400.0       221.5       
12      50.0        60.9        100.0       239.7       400.0       217.0       
13      100.0       67.7        400.0       258.4       100.0       229.9       
14      100.0       61.7        400.0       241.7       100.0       218.1       
15      100.0       58.5        400.0       232.9       100.0       212.1       
