Trial:          334
Mean RMSE:      101.8277 µM
RMSE DA:        27.5590 µM
RMSE AA:        114.2138 µM
RMSE UA:        163.7103 µM
Selected tests: cv, cagc
N features:     3
Train conds:    [1, 2, 4, 6, 7, 8, 9, 10, 12, 13, 15, 16, 17, 18, 19, 21, 22, 23, 24]
Test conds:     [3, 5, 11, 14, 20]
Epoch floor:    100000
Actual epochs:  738600 (extended)
Patience:       100 val-checks

Features:
  cagc_CE_1s
  cagc_CE_10s
  cagc_eta10

Predictions vs targets (test set):
Sample  DA_true     DA_pred     AA_true     AA_pred     UA_true     UA_pred     
--------------------------------------------------------------------------------
1       5.0         60.3        200.0       216.3       400.0       168.8       
2       5.0         32.8        200.0       199.6       400.0       170.0       
3       5.0         32.6        200.0       174.4       400.0       179.3       
4       10.0        17.2        0.0         121.7       200.0       62.7        
5       10.0        11.0        0.0         144.5       200.0       95.7        
6       10.0        10.7        0.0         128.8       200.0       71.1        
7       20.0        35.4        200.0       133.8       0.0         134.9       
8       20.0        41.3        200.0       218.7       0.0         127.2       
9       20.0        45.0        200.0       217.8       0.0         133.1       
10      50.0        58.9        100.0       221.1       400.0       214.6       
11      50.0        58.3        100.0       225.4       400.0       228.1       
12      50.0        58.7        100.0       222.3       400.0       218.3       
13      100.0       56.0        400.0       241.5       100.0       277.4       
14      100.0       59.1        400.0       219.5       100.0       209.7       
15      100.0       60.0        400.0       214.6       100.0       189.7       
