Trial:          342
Mean RMSE:      105.1342 µM
RMSE DA:        25.7700 µM
RMSE AA:        124.2457 µM
RMSE UA:        165.3868 µM
Selected tests: cagc
N features:     4
Train conds:    [1, 2, 4, 6, 7, 8, 9, 10, 12, 13, 15, 16, 17, 18, 19, 21, 22, 23, 24]
Test conds:     [3, 5, 11, 14, 20]
Epoch floor:    100000
Actual epochs:  549400 (extended)
Patience:       100 val-checks

Features:
  cagc_CE_1s
  cagc_CE_10s
  cagc_CE_ss
  cagc_eta10

Predictions vs targets (test set):
Sample  DA_true     DA_pred     AA_true     AA_pred     UA_true     UA_pred     
--------------------------------------------------------------------------------
1       5.0         57.3        200.0       222.7       400.0       192.9       
2       5.0         27.1        200.0       164.3       400.0       176.9       
3       5.0         26.1        200.0       142.5       400.0       165.6       
4       10.0        28.9        0.0         106.2       200.0       74.9        
5       10.0        15.1        0.0         185.3       200.0       106.3       
6       10.0        18.7        0.0         176.4       200.0       89.9        
7       20.0        35.8        200.0       82.1        0.0         127.8       
8       20.0        40.3        200.0       181.9       0.0         178.5       
9       20.0        43.5        200.0       194.2       0.0         181.8       
10      50.0        61.7        100.0       239.3       400.0       215.4       
11      50.0        63.0        100.0       240.8       400.0       221.3       
12      50.0        61.8        100.0       238.3       400.0       214.5       
13      100.0       68.2        400.0       249.4       100.0       248.1       
14      100.0       61.0        400.0       237.5       100.0       210.7       
15      100.0       59.4        400.0       232.5       100.0       201.0       
