Trial:          363
Mean RMSE:      99.9418 µM
RMSE DA:        23.9962 µM
RMSE AA:        108.7101 µM
RMSE UA:        167.1191 µM
Selected tests: cagc
N features:     3
Train conds:    [1, 2, 4, 6, 7, 8, 9, 10, 12, 13, 15, 16, 17, 18, 19, 21, 22, 23, 24]
Test conds:     [3, 5, 11, 14, 20]
Epoch floor:    100000
Actual epochs:  255600 (extended)
Patience:       100 val-checks

Features:
  cagc_CE_ss
  cagc_AF
  cagc_eta10

Predictions vs targets (test set):
Sample  DA_true     DA_pred     AA_true     AA_pred     UA_true     UA_pred     
--------------------------------------------------------------------------------
1       5.0         47.6        200.0       216.2       400.0       184.4       
2       5.0         29.1        200.0       190.8       400.0       150.0       
3       5.0         28.3        200.0       184.0       400.0       147.1       
4       10.0        21.4        0.0         117.2       200.0       116.5       
5       10.0        21.3        0.0         104.2       200.0       109.7       
6       10.0        19.7        0.0         111.4       200.0       107.6       
7       20.0        26.4        200.0       170.4       0.0         142.0       
8       20.0        33.4        200.0       181.4       0.0         164.9       
9       20.0        34.8        200.0       184.9       0.0         167.6       
10      50.0        60.2        100.0       236.7       400.0       219.0       
11      50.0        64.1        100.0       240.3       400.0       230.5       
12      50.0        60.5        100.0       238.6       400.0       220.8       
13      100.0       80.9        400.0       248.2       100.0       276.3       
14      100.0       57.6        400.0       236.5       100.0       213.1       
15      100.0       51.7        400.0       224.3       100.0       197.0       
