Trial:          371
Mean RMSE:      100.8253 µM
RMSE DA:        27.1735 µM
RMSE AA:        109.0925 µM
RMSE UA:        166.2098 µM
Selected tests: cv, cagc
N features:     1
Train conds:    [1, 2, 4, 6, 7, 8, 9, 10, 12, 13, 15, 16, 17, 18, 19, 21, 22, 23, 24]
Test conds:     [3, 5, 11, 14, 20]
Epoch floor:    100000
Actual epochs:  886600 (extended)
Patience:       100 val-checks

Features:
  cagc_CE_10s

Predictions vs targets (test set):
Sample  DA_true     DA_pred     AA_true     AA_pred     UA_true     UA_pred     
--------------------------------------------------------------------------------
1       5.0         54.3        200.0       219.9       400.0       200.8       
2       5.0         38.9        200.0       183.9       400.0       177.0       
3       5.0         35.5        200.0       175.9       400.0       171.8       
4       10.0        17.1        0.0         113.9       200.0       94.6        
5       10.0        17.2        0.0         114.2       200.0       94.8        
6       10.0        17.3        0.0         114.3       200.0       95.0        
7       20.0        28.5        200.0       159.5       0.0         158.1       
8       20.0        45.0        200.0       198.1       0.0         186.4       
9       20.0        46.6        200.0       201.9       0.0         188.9       
10      50.0        60.2        100.0       233.9       400.0       210.0       
11      50.0        61.7        100.0       237.5       400.0       212.4       
12      50.0        60.5        100.0       234.5       400.0       210.4       
13      100.0       66.3        400.0       248.4       100.0       219.5       
14      100.0       59.4        400.0       232.0       100.0       208.8       
15      100.0       56.7        400.0       225.6       100.0       204.5       
