Trial:          383
Mean RMSE:      106.5549 µM
RMSE DA:        31.2546 µM
RMSE AA:        112.5244 µM
RMSE UA:        175.8858 µM
Selected tests: ca
N features:     1
Train conds:    [1, 2, 4, 6, 7, 8, 9, 10, 12, 13, 15, 16, 17, 18, 19, 21, 22, 23, 24]
Test conds:     [3, 5, 11, 14, 20]
Epoch floor:    100000
Actual epochs:  120000 (extended)
Patience:       100 val-checks

Features:
  ca_Iss_I0

Predictions vs targets (test set):
Sample  DA_true     DA_pred     AA_true     AA_pred     UA_true     UA_pred     
--------------------------------------------------------------------------------
1       5.0         47.6        200.0       197.0       400.0       163.2       
2       5.0         26.3        200.0       153.7       400.0       148.6       
3       5.0         28.7        200.0       163.0       400.0       149.9       
4       10.0        13.2        0.0         109.8       200.0       142.1       
5       10.0        10.7        0.0         103.7       200.0       141.1       
6       10.0        10.7        0.0         103.7       200.0       141.1       
7       20.0        58.8        200.0       247.9       0.0         179.0       
8       20.0        55.8        200.0       234.2       0.0         174.7       
9       20.0        60.6        200.0       256.3       0.0         181.6       
10      50.0        53.6        100.0       223.6       400.0       171.4       
11      50.0        48.6        100.0       201.2       400.0       164.5       
12      50.0        50.9        100.0       211.5       400.0       167.6       
13      100.0       64.6        400.0       275.0       100.0       187.4       
14      100.0       45.0        400.0       185.7       100.0       159.7       
15      100.0       44.5        400.0       183.9       100.0       159.1       
