Trial:          400
Mean RMSE:      108.6637 µM
RMSE DA:        38.8848 µM
RMSE AA:        122.7978 µM
RMSE UA:        164.3084 µM
Selected tests: ca
N features:     3
Train conds:    [1, 2, 4, 6, 7, 8, 9, 10, 12, 13, 15, 16, 17, 18, 19, 21, 22, 23, 24]
Test conds:     [3, 5, 11, 14, 20]
Epoch floor:    100000
Actual epochs:  599200 (extended)
Patience:       100 val-checks

Features:
  ca_Iss
  ca_cott_R2
  ca_Q_late_early

Predictions vs targets (test set):
Sample  DA_true     DA_pred     AA_true     AA_pred     UA_true     UA_pred     
--------------------------------------------------------------------------------
1       5.0         33.0        200.0       247.4       400.0       243.0       
2       5.0         -7.2        200.0       405.4       400.0       199.1       
3       5.0         9.5         200.0       351.6       400.0       221.0       
4       10.0        13.3        0.0         48.4        200.0       91.2        
5       10.0        19.8        0.0         152.1       200.0       100.4       
6       10.0        17.0        0.0         119.3       200.0       93.2        
7       20.0        84.8        200.0       205.1       0.0         154.3       
8       20.0        80.6        200.0       155.0       0.0         162.3       
9       20.0        77.7        200.0       136.6       0.0         161.1       
10      50.0        60.8        100.0       209.3       400.0       198.4       
11      50.0        62.5        100.0       119.8       400.0       161.5       
12      50.0        62.4        100.0       78.8        400.0       142.0       
13      100.0       66.5        400.0       251.1       100.0       160.9       
14      100.0       33.1        400.0       250.2       100.0       243.8       
15      100.0       34.1        400.0       164.2       100.0       200.9       
