Trial:          408
Mean RMSE:      100.1057 µM
RMSE DA:        24.5850 µM
RMSE AA:        114.1895 µM
RMSE UA:        161.5427 µM
Selected tests: cagc
N features:     3
Train conds:    [1, 2, 4, 6, 7, 8, 9, 10, 12, 13, 15, 16, 17, 18, 19, 21, 22, 23, 24]
Test conds:     [3, 5, 11, 14, 20]
Epoch floor:    100000
Actual epochs:  1812800 (extended)
Patience:       100 val-checks

Features:
  cagc_CE_1s
  cagc_CE_ss
  cagc_AF

Predictions vs targets (test set):
Sample  DA_true     DA_pred     AA_true     AA_pred     UA_true     UA_pred     
--------------------------------------------------------------------------------
1       5.0         45.9        200.0       230.4       400.0       182.3       
2       5.0         32.0        200.0       195.3       400.0       151.2       
3       5.0         20.4        200.0       201.8       400.0       128.5       
4       10.0        8.3         0.0         99.6        200.0       64.3        
5       10.0        10.5        0.0         205.5       200.0       104.3       
6       10.0        5.8         0.0         183.9       200.0       78.9        
7       20.0        1.4         200.0       221.9       0.0         59.6        
8       20.0        21.9        200.0       256.4       0.0         126.3       
9       20.0        26.5        200.0       253.8       0.0         136.8       
10      50.0        76.7        100.0       172.5       400.0       248.9       
11      50.0        63.9        100.0       252.4       400.0       223.4       
12      50.0        60.4        100.0       251.3       400.0       214.9       
13      100.0       67.3        400.0       277.5       100.0       233.6       
14      100.0       58.0        400.0       268.6       100.0       210.2       
15      100.0       53.4        400.0       264.2       100.0       198.6       
