Trial:          433
Mean RMSE:      114.9721 µM
RMSE DA:        28.8460 µM
RMSE AA:        178.1737 µM
RMSE UA:        137.8967 µM
Selected tests: dpv
N features:     4
Train conds:    [1, 2, 4, 6, 7, 8, 9, 10, 12, 13, 15, 16, 17, 18, 19, 21, 22, 23, 24]
Test conds:     [3, 5, 11, 14, 20]
Epoch floor:    100000
Actual epochs:  134400 (extended)
Patience:       100 val-checks

Features:
  dpv_DA_Ip
  dpv_UA_Area
  dpv_ratio_Ip_DA_AA
  dpv_dEp_UA_DA

Predictions vs targets (test set):
Sample  DA_true     DA_pred     AA_true     AA_pred     UA_true     UA_pred     
--------------------------------------------------------------------------------
1       5.0         29.2        200.0       251.5       400.0       106.4       
2       5.0         22.2        200.0       260.1       400.0       292.6       
3       5.0         20.3        200.0       267.0       400.0       309.9       
4       10.0        23.7        0.0         214.8       200.0       201.3       
5       10.0        24.2        0.0         202.5       200.0       208.7       
6       10.0        24.7        0.0         185.8       200.0       214.8       
7       20.0        57.8        200.0       222.7       0.0         -31.3       
8       20.0        42.1        200.0       194.8       0.0         138.6       
9       20.0        39.2        200.0       181.4       0.0         142.4       
10      50.0        53.4        100.0       137.8       400.0       179.3       
11      50.0        37.8        100.0       194.0       400.0       201.6       
12      50.0        37.0        100.0       198.0       400.0       206.6       
13      100.0       50.3        400.0       102.2       100.0       162.8       
14      100.0       46.9        400.0       63.6        100.0       168.4       
15      100.0       46.5        400.0       51.9        100.0       167.4       
