Trial:          468
Mean RMSE:      104.2995 µM
RMSE DA:        28.2503 µM
RMSE AA:        120.9041 µM
RMSE UA:        163.7442 µM
Selected tests: ca
N features:     4
Train conds:    [1, 2, 4, 6, 7, 8, 9, 10, 12, 13, 15, 16, 17, 18, 19, 21, 22, 23, 24]
Test conds:     [3, 5, 11, 14, 20]
Epoch floor:    100000
Actual epochs:  328600 (extended)
Patience:       100 val-checks

Features:
  ca_I0
  ca_Iss
  ca_Iss_I0
  ca_Q_early

Predictions vs targets (test set):
Sample  DA_true     DA_pred     AA_true     AA_pred     UA_true     UA_pred     
--------------------------------------------------------------------------------
1       5.0         17.0        200.0       289.2       400.0       289.7       
2       5.0         19.0        200.0       149.5       400.0       156.5       
3       5.0         10.6        200.0       176.8       400.0       200.4       
4       10.0        10.0        0.0         114.9       200.0       126.3       
5       10.0        16.7        0.0         104.6       200.0       105.0       
6       10.0        10.2        0.0         109.2       200.0       119.0       
7       20.0        70.5        200.0       236.1       0.0         149.1       
8       20.0        64.7        200.0       219.9       0.0         150.0       
9       20.0        41.2        200.0       300.7       0.0         259.3       
10      50.0        57.1        100.0       230.1       400.0       174.9       
11      50.0        55.1        100.0       196.0       400.0       152.5       
12      50.0        40.2        100.0       243.7       400.0       219.0       
13      100.0       71.3        400.0       236.1       100.0       139.4       
14      100.0       53.8        400.0       178.3       100.0       161.6       
15      100.0       41.5        400.0       206.3       100.0       188.6       
