Trial:          478
Mean RMSE:      99.9936 µM
RMSE DA:        24.5078 µM
RMSE AA:        111.6443 µM
RMSE UA:        163.8288 µM
Selected tests: cagc
N features:     4
Train conds:    [1, 2, 4, 6, 7, 8, 9, 10, 12, 13, 15, 16, 17, 18, 19, 21, 22, 23, 24]
Test conds:     [3, 5, 11, 14, 20]
Epoch floor:    100000
Actual epochs:  301600 (extended)
Patience:       100 val-checks

Features:
  cagc_CE_1s
  cagc_CE_10s
  cagc_AF
  cagc_eta10

Predictions vs targets (test set):
Sample  DA_true     DA_pred     AA_true     AA_pred     UA_true     UA_pred     
--------------------------------------------------------------------------------
1       5.0         50.2        200.0       216.4       400.0       199.7       
2       5.0         31.2        200.0       179.3       400.0       165.8       
3       5.0         27.3        200.0       163.2       400.0       151.3       
4       10.0        16.8        0.0         116.1       200.0       98.1        
5       10.0        20.5        0.0         124.7       200.0       111.2       
6       10.0        18.2        0.0         119.4       200.0       103.1       
7       20.0        16.7        200.0       130.6       0.0         107.6       
8       20.0        39.7        200.0       193.9       0.0         178.4       
9       20.0        42.1        200.0       199.8       0.0         184.2       
10      50.0        59.6        100.0       237.1       400.0       220.0       
11      50.0        65.9        100.0       246.2       400.0       226.0       
12      50.0        62.0        100.0       239.6       400.0       220.7       
13      100.0       77.9        400.0       257.4       100.0       240.4       
14      100.0       59.4        400.0       236.0       100.0       218.5       
15      100.0       54.7        400.0       227.2       100.0       210.6       
