Trial:          526
Mean RMSE:      90.8731 µM
RMSE DA:        37.8204 µM
RMSE AA:        110.3505 µM
RMSE UA:        124.4485 µM
Selected tests: dpv
N features:     3
Train conds:    [1, 2, 4, 6, 7, 8, 9, 10, 12, 13, 15, 16, 17, 18, 19, 21, 22, 23, 24]
Test conds:     [3, 5, 11, 14, 20]
Epoch floor:    100000
Actual epochs:  159800 (extended)
Patience:       100 val-checks

Features:
  dpv_DA_Area
  dpv_UA_Ep
  dpv_ratio_Ip_UA_AA

Predictions vs targets (test set):
Sample  DA_true     DA_pred     AA_true     AA_pred     UA_true     UA_pred     
--------------------------------------------------------------------------------
1       5.0         9.8         200.0       222.5       400.0       263.7       
2       5.0         65.0        200.0       156.6       400.0       205.2       
3       5.0         58.9        200.0       152.1       400.0       193.7       
4       10.0        24.6        0.0         175.6       200.0       175.6       
5       10.0        17.7        0.0         197.4       200.0       216.6       
6       10.0        20.9        0.0         187.5       200.0       197.8       
7       20.0        85.6        200.0       231.2       0.0         36.2        
8       20.0        34.5        200.0       181.1       0.0         64.2        
9       20.0        33.2        200.0       167.9       0.0         83.6        
10      50.0        27.2        100.0       185.8       400.0       167.5       
11      50.0        74.8        100.0       158.2       400.0       224.5       
12      50.0        71.2        100.0       155.4       400.0       216.9       
13      100.0       48.2        400.0       255.6       100.0       64.6        
14      100.0       48.4        400.0       267.3       100.0       83.6        
15      100.0       46.0        400.0       264.5       100.0       99.5        
