Trial:          538
Mean RMSE:      102.7318 µM
RMSE DA:        26.6548 µM
RMSE AA:        117.1881 µM
RMSE UA:        164.3525 µM
Selected tests: cagc
N features:     1
Train conds:    [1, 2, 4, 6, 7, 8, 9, 10, 12, 13, 15, 16, 17, 18, 19, 21, 22, 23, 24]
Test conds:     [3, 5, 11, 14, 20]
Epoch floor:    100000
Actual epochs:  1205400 (extended)
Patience:       100 val-checks

Features:
  cagc_CE_ss

Predictions vs targets (test set):
Sample  DA_true     DA_pred     AA_true     AA_pred     UA_true     UA_pred     
--------------------------------------------------------------------------------
1       5.0         55.1        200.0       222.0       400.0       203.8       
2       5.0         37.8        200.0       166.1       400.0       177.7       
3       5.0         34.2        200.0       154.4       400.0       172.2       
4       10.0        16.9        0.0         141.9       200.0       113.5       
5       10.0        15.6        0.0         148.1       200.0       111.1       
6       10.0        15.3        0.0         147.0       200.0       108.9       
7       20.0        27.0        200.0       130.9       0.0         160.8       
8       20.0        44.6        200.0       187.9       0.0         187.9       
9       20.0        46.4        200.0       193.8       0.0         190.7       
10      50.0        60.5        100.0       239.2       400.0       211.9       
11      50.0        62.2        100.0       244.8       400.0       214.5       
12      50.0        61.1        100.0       241.4       400.0       212.9       
13      100.0       68.3        400.0       264.7       100.0       223.8       
14      100.0       60.5        400.0       239.2       100.0       211.9       
15      100.0       57.4        400.0       229.2       100.0       207.2       
