Trial:          540
Mean RMSE:      104.5955 µM
RMSE DA:        30.7668 µM
RMSE AA:        111.3533 µM
RMSE UA:        171.6664 µM
Selected tests: ca
N features:     4
Train conds:    [1, 2, 4, 6, 7, 8, 9, 10, 12, 13, 15, 16, 17, 18, 19, 21, 22, 23, 24]
Test conds:     [3, 5, 11, 14, 20]
Epoch floor:    100000
Actual epochs:  514200 (extended)
Patience:       100 val-checks

Features:
  ca_cott_slope
  ca_cott_R2
  ca_Q_early
  ca_Q_late_early

Predictions vs targets (test set):
Sample  DA_true     DA_pred     AA_true     AA_pred     UA_true     UA_pred     
--------------------------------------------------------------------------------
1       5.0         24.1        200.0       270.0       400.0       182.7       
2       5.0         10.6        200.0       252.5       400.0       173.2       
3       5.0         14.5        200.0       213.8       400.0       159.1       
4       10.0        19.2        0.0         119.8       200.0       141.6       
5       10.0        2.1         0.0         161.3       200.0       149.3       
6       10.0        7.4         0.0         144.7       200.0       149.4       
7       20.0        66.0        200.0       184.2       0.0         181.7       
8       20.0        60.7        200.0       194.4       0.0         178.7       
9       20.0        50.6        200.0       234.1       0.0         188.6       
10      50.0        58.3        100.0       168.5       400.0       169.4       
11      50.0        51.7        100.0       182.7       400.0       172.1       
12      50.0        42.2        100.0       213.6       400.0       179.4       
13      100.0       64.4        400.0       284.9       100.0       209.4       
14      100.0       40.5        400.0       204.6       100.0       171.6       
15      100.0       37.5        400.0       201.2       100.0       173.9       
