Trial:          544
Mean RMSE:      95.7724 µM
RMSE DA:        32.1173 µM
RMSE AA:        99.3771 µM
RMSE UA:        155.8228 µM
Selected tests: ca
N features:     4
Train conds:    [1, 2, 4, 6, 7, 8, 9, 10, 12, 13, 15, 16, 17, 18, 19, 21, 22, 23, 24]
Test conds:     [3, 5, 11, 14, 20]
Epoch floor:    100000
Actual epochs:  120000 (extended)
Patience:       100 val-checks

Features:
  ca_cott_slope
  ca_cott_R2
  ca_Q_late
  ca_Q_late_early

Predictions vs targets (test set):
Sample  DA_true     DA_pred     AA_true     AA_pred     UA_true     UA_pred     
--------------------------------------------------------------------------------
1       5.0         17.7        200.0       239.9       400.0       274.9       
2       5.0         18.3        200.0       227.0       400.0       252.4       
3       5.0         9.2         200.0       228.9       400.0       281.0       
4       10.0        14.9        0.0         161.2       200.0       91.2        
5       10.0        6.9         0.0         109.2       200.0       103.1       
6       10.0        4.8         0.0         111.4       200.0       87.0        
7       20.0        71.1        200.0       170.5       0.0         140.0       
8       20.0        66.2        200.0       164.9       0.0         149.6       
9       20.0        62.6        200.0       198.1       0.0         143.6       
10      50.0        54.8        100.0       179.4       400.0       155.3       
11      50.0        58.6        100.0       172.0       400.0       144.2       
12      50.0        61.5        100.0       180.8       400.0       150.1       
13      100.0       60.7        400.0       281.5       100.0       182.8       
14      100.0       39.7        400.0       238.7       100.0       212.1       
15      100.0       44.5        400.0       214.3       100.0       193.8       
