Trial:          547
Mean RMSE:      104.2335 µM
RMSE DA:        27.3114 µM
RMSE AA:        117.5362 µM
RMSE UA:        167.8528 µM
Selected tests: cagc
N features:     2
Train conds:    [1, 2, 4, 6, 7, 8, 9, 10, 12, 13, 15, 16, 17, 18, 19, 21, 22, 23, 24]
Test conds:     [3, 5, 11, 14, 20]
Epoch floor:    100000
Actual epochs:  1236200 (extended)
Patience:       100 val-checks

Features:
  cagc_CE_10s
  cagc_CE_ss

Predictions vs targets (test set):
Sample  DA_true     DA_pred     AA_true     AA_pred     UA_true     UA_pred     
--------------------------------------------------------------------------------
1       5.0         54.6        200.0       223.3       400.0       199.0       
2       5.0         38.8        200.0       175.6       400.0       180.3       
3       5.0         34.9        200.0       163.7       400.0       176.5       
4       10.0        17.8        0.0         152.9       200.0       95.7        
5       10.0        15.8        0.0         148.1       200.0       87.4        
6       10.0        16.9        0.0         145.2       200.0       87.0        
7       20.0        27.0        200.0       140.4       0.0         166.9       
8       20.0        45.9        200.0       197.3       0.0         187.7       
9       20.0        47.7        200.0       202.6       0.0         189.6       
10      50.0        59.1        100.0       236.7       400.0       203.4       
11      50.0        60.5        100.0       240.8       400.0       205.3       
12      50.0        59.6        100.0       238.1       400.0       204.5       
13      100.0       65.3        400.0       254.8       100.0       213.0       
14      100.0       59.0        400.0       236.2       100.0       204.3       
15      100.0       56.5        400.0       228.9       100.0       200.9       
