Trial:          560
Mean RMSE:      102.1358 µM
RMSE DA:        28.4714 µM
RMSE AA:        117.7961 µM
RMSE UA:        160.1397 µM
Selected tests: cv, ca, cagc
N features:     4
Train conds:    [1, 2, 4, 6, 7, 8, 9, 10, 12, 13, 15, 16, 17, 18, 19, 21, 22, 23, 24]
Test conds:     [3, 5, 11, 14, 20]
Epoch floor:    100000
Actual epochs:  491200 (extended)
Patience:       100 val-checks

Features:
  ca_Iss_I0
  ca_cott_slope
  ca_Q_late_early
  cagc_CE_1s

Predictions vs targets (test set):
Sample  DA_true     DA_pred     AA_true     AA_pred     UA_true     UA_pred     
--------------------------------------------------------------------------------
1       5.0         -2.5        200.0       334.6       400.0       270.5       
2       5.0         21.0        200.0       207.7       400.0       182.6       
3       5.0         8.7         200.0       260.3       400.0       218.3       
4       10.0        9.3         0.0         138.6       200.0       127.2       
5       10.0        10.6        0.0         122.7       200.0       113.6       
6       10.0        7.4         0.0         130.6       200.0       119.9       
7       20.0        69.4        200.0       154.6       0.0         151.5       
8       20.0        67.7        200.0       206.8       0.0         187.5       
9       20.0        49.7        200.0       255.4       0.0         219.5       
10      50.0        71.0        100.0       176.8       400.0       174.3       
11      50.0        62.8        100.0       203.3       400.0       185.4       
12      50.0        41.5        100.0       247.9       400.0       214.5       
13      100.0       63.8        400.0       248.9       100.0       214.9       
14      100.0       61.4        400.0       203.3       100.0       185.4       
15      100.0       47.5        400.0       227.3       100.0       201.4       
