Trial:          576
Mean RMSE:      100.9356 µM
RMSE DA:        24.6499 µM
RMSE AA:        112.0567 µM
RMSE UA:        166.1003 µM
Selected tests: cagc
N features:     2
Train conds:    [1, 2, 4, 6, 7, 8, 9, 10, 12, 13, 15, 16, 17, 18, 19, 21, 22, 23, 24]
Test conds:     [3, 5, 11, 14, 20]
Epoch floor:    100000
Actual epochs:  865000 (extended)
Patience:       100 val-checks

Features:
  cagc_CE_ss
  cagc_eta10

Predictions vs targets (test set):
Sample  DA_true     DA_pred     AA_true     AA_pred     UA_true     UA_pred     
--------------------------------------------------------------------------------
1       5.0         54.0        200.0       197.3       400.0       182.6       
2       5.0         30.7        200.0       195.3       400.0       166.8       
3       5.0         28.9        200.0       181.5       400.0       163.9       
4       10.0        12.4        0.0         133.1       200.0       108.3       
5       10.0        11.5        0.0         131.5       200.0       97.8        
6       10.0        10.5        0.0         130.0       200.0       92.3        
7       20.0        25.5        200.0       164.4       0.0         154.8       
8       20.0        39.3        200.0       200.1       0.0         165.8       
9       20.0        43.0        200.0       194.6       0.0         164.9       
10      50.0        61.5        100.0       225.5       400.0       216.8       
11      50.0        64.3        100.0       235.8       400.0       228.6       
12      50.0        61.9        100.0       227.0       400.0       218.5       
13      100.0       74.8        400.0       274.7       100.0       272.7       
14      100.0       60.4        400.0       221.3       100.0       211.7       
15      100.0       56.8        400.0       208.1       100.0       196.0       
