Trial:          598
Mean RMSE:      103.5162 µM
RMSE DA:        30.2250 µM
RMSE AA:        121.2487 µM
RMSE UA:        159.0748 µM
Selected tests: cv, ca
N features:     4
Train conds:    [1, 2, 4, 6, 7, 8, 9, 10, 12, 13, 15, 16, 17, 18, 19, 21, 22, 23, 24]
Test conds:     [3, 5, 11, 14, 20]
Epoch floor:    100000
Actual epochs:  295000 (extended)
Patience:       100 val-checks

Features:
  ca_I0
  ca_Iss_I0
  ca_cott_slope
  ca_Q_early

Predictions vs targets (test set):
Sample  DA_true     DA_pred     AA_true     AA_pred     UA_true     UA_pred     
--------------------------------------------------------------------------------
1       5.0         -1.7        200.0       354.8       400.0       286.6       
2       5.0         11.0        200.0       171.6       400.0       166.8       
3       5.0         -1.5        200.0       229.7       400.0       209.4       
4       10.0        7.2         0.0         93.6        200.0       133.5       
5       10.0        26.6        0.0         108.8       200.0       118.5       
6       10.0        12.6        0.0         90.0        200.0       123.0       
7       20.0        75.4        200.0       196.8       0.0         135.4       
8       20.0        65.5        200.0       187.0       0.0         147.2       
9       20.0        48.5        200.0       248.4       0.0         224.4       
10      50.0        65.6        100.0       169.3       400.0       147.5       
11      50.0        56.3        100.0       169.9       400.0       156.5       
12      50.0        39.2        100.0       261.1       400.0       219.7       
13      100.0       65.6        400.0       189.8       100.0       147.6       
14      100.0       56.0        400.0       172.7       100.0       156.2       
15      100.0       38.1        400.0       220.8       100.0       187.8       
