Trial:          668
Mean RMSE:      109.4278 µM
RMSE DA:        29.1420 µM
RMSE AA:        126.9938 µM
RMSE UA:        172.1477 µM
Selected tests: ca
N features:     4
Train conds:    [1, 2, 4, 6, 7, 8, 9, 10, 12, 13, 15, 16, 17, 18, 19, 21, 22, 23, 24]
Test conds:     [3, 5, 11, 14, 20]
Epoch floor:    100000
Actual epochs:  120000 (extended)
Patience:       100 val-checks

Features:
  ca_I0
  ca_Iss_I0
  ca_Q_early
  ca_Q_late_early

Predictions vs targets (test set):
Sample  DA_true     DA_pred     AA_true     AA_pred     UA_true     UA_pred     
--------------------------------------------------------------------------------
1       5.0         -6.1        200.0       311.5       400.0       221.5       
2       5.0         30.4        200.0       140.0       400.0       187.9       
3       5.0         13.0        200.0       230.9       400.0       190.1       
4       10.0        17.0        0.0         108.0       200.0       114.9       
5       10.0        11.4        0.0         118.5       200.0       62.8        
6       10.0        10.4        0.0         110.7       200.0       80.7        
7       20.0        70.1        200.0       190.6       0.0         152.7       
8       20.0        62.8        200.0       199.3       0.0         177.1       
9       20.0        47.0        200.0       343.9       0.0         281.3       
10      50.0        56.4        100.0       210.9       400.0       178.8       
11      50.0        55.0        100.0       185.2       400.0       180.4       
12      50.0        41.1        100.0       266.4       400.0       225.9       
13      100.0       71.2        400.0       229.8       100.0       179.4       
14      100.0       51.8        400.0       172.1       100.0       182.3       
15      100.0       41.0        400.0       204.9       100.0       194.6       
