Trial:          675
Mean RMSE:      102.3514 µM
RMSE DA:        25.3660 µM
RMSE AA:        113.5813 µM
RMSE UA:        168.1069 µM
Selected tests: cagc
N features:     2
Train conds:    [1, 2, 4, 6, 7, 8, 9, 10, 12, 13, 15, 16, 17, 18, 19, 21, 22, 23, 24]
Test conds:     [3, 5, 11, 14, 20]
Epoch floor:    100000
Actual epochs:  375200 (extended)
Patience:       100 val-checks

Features:
  cagc_CE_10s
  cagc_eta10

Predictions vs targets (test set):
Sample  DA_true     DA_pred     AA_true     AA_pred     UA_true     UA_pred     
--------------------------------------------------------------------------------
1       5.0         58.3        200.0       199.8       400.0       173.1       
2       5.0         30.2        200.0       175.3       400.0       164.8       
3       5.0         26.6        200.0       169.9       400.0       168.7       
4       10.0        15.9        0.0         133.0       200.0       101.2       
5       10.0        17.5        0.0         133.8       200.0       88.4        
6       10.0        19.1        0.0         135.6       200.0       79.0        
7       20.0        20.0        200.0       163.7       0.0         167.3       
8       20.0        40.8        200.0       185.9       0.0         163.8       
9       20.0        44.9        200.0       190.3       0.0         163.5       
10      50.0        62.7        100.0       228.5       400.0       221.1       
11      50.0        64.2        100.0       236.4       400.0       234.1       
12      50.0        62.9        100.0       229.9       400.0       223.4       
13      100.0       70.1        400.0       265.1       100.0       280.5       
14      100.0       61.9        400.0       224.9       100.0       215.1       
15      100.0       59.9        400.0       211.4       100.0       192.8       
