Trial:          689
Mean RMSE:      102.9977 µM
RMSE DA:        31.8314 µM
RMSE AA:        155.6522 µM
RMSE UA:        121.5095 µM
Selected tests: dpv
N features:     4
Train conds:    [1, 2, 4, 6, 7, 8, 9, 10, 12, 13, 15, 16, 17, 18, 19, 21, 22, 23, 24]
Test conds:     [3, 5, 11, 14, 20]
Epoch floor:    100000
Actual epochs:  614600 (extended)
Patience:       100 val-checks

Features:
  dpv_DA_Ip
  dpv_DA_Ep
  dpv_DA_Area
  dpv_UA_Area

Predictions vs targets (test set):
Sample  DA_true     DA_pred     AA_true     AA_pred     UA_true     UA_pred     
--------------------------------------------------------------------------------
1       5.0         -21.9       200.0       104.5       400.0       179.3       
2       5.0         -17.2       200.0       161.3       400.0       230.1       
3       5.0         -24.4       200.0       151.7       400.0       220.3       
4       10.0        44.8        0.0         210.2       200.0       262.6       
5       10.0        34.7        0.0         219.5       200.0       204.3       
6       10.0        31.8        0.0         198.8       200.0       178.9       
7       20.0        46.6        200.0       184.6       0.0         -49.8       
8       20.0        20.4        200.0       220.5       0.0         25.6        
9       20.0        22.9        200.0       157.9       0.0         64.4        
10      50.0        58.2        100.0       162.3       400.0       254.0       
11      50.0        49.2        100.0       191.0       400.0       268.0       
12      50.0        48.5        100.0       198.7       400.0       248.4       
13      100.0       53.9        400.0       130.5       100.0       246.4       
14      100.0       40.1        400.0       143.8       100.0       194.6       
15      100.0       34.2        400.0       163.5       100.0       188.5       
