Trial:          706
Mean RMSE:      102.9476 µM
RMSE DA:        31.8332 µM
RMSE AA:        108.9775 µM
RMSE UA:        168.0321 µM
Selected tests: ca
N features:     4
Train conds:    [1, 2, 4, 6, 7, 8, 9, 10, 12, 13, 15, 16, 17, 18, 19, 21, 22, 23, 24]
Test conds:     [3, 5, 11, 14, 20]
Epoch floor:    100000
Actual epochs:  247000 (extended)
Patience:       100 val-checks

Features:
  ca_Iss
  ca_Iss_I0
  ca_Q_early
  ca_Q_late

Predictions vs targets (test set):
Sample  DA_true     DA_pred     AA_true     AA_pred     UA_true     UA_pred     
--------------------------------------------------------------------------------
1       5.0         33.1        200.0       228.3       400.0       215.3       
2       5.0         19.7        200.0       155.2       400.0       160.9       
3       5.0         19.4        200.0       158.6       400.0       164.7       
4       10.0        13.6        0.0         120.1       200.0       121.1       
5       10.0        14.3        0.0         115.6       200.0       116.6       
6       10.0        13.2        0.0         114.5       200.0       115.0       
7       20.0        76.2        200.0       208.0       0.0         167.5       
8       20.0        65.2        200.0       186.0       0.0         199.7       
9       20.0        40.4        200.0       217.4       0.0         182.4       
10      50.0        68.1        100.0       168.3       400.0       193.8       
11      50.0        58.3        100.0       169.3       400.0       197.6       
12      50.0        44.3        100.0       203.5       400.0       195.0       
13      100.0       61.7        400.0       231.4       100.0       195.6       
14      100.0       49.3        400.0       185.4       100.0       202.8       
15      100.0       37.9        400.0       206.3       100.0       200.1       
