Trial:          720
Mean RMSE:      101.4019 µM
RMSE DA:        31.7935 µM
RMSE AA:        109.1806 µM
RMSE UA:        163.2315 µM
Selected tests: ca
N features:     3
Train conds:    [1, 2, 4, 6, 7, 8, 9, 10, 12, 13, 15, 16, 17, 18, 19, 21, 22, 23, 24]
Test conds:     [3, 5, 11, 14, 20]
Epoch floor:    100000
Actual epochs:  120000 (extended)
Patience:       100 val-checks

Features:
  ca_I0
  ca_Q_early
  ca_Q_late_early

Predictions vs targets (test set):
Sample  DA_true     DA_pred     AA_true     AA_pred     UA_true     UA_pred     
--------------------------------------------------------------------------------
1       5.0         23.6        200.0       366.2       400.0       296.2       
2       5.0         25.7        200.0       152.2       400.0       175.2       
3       5.0         23.1        200.0       201.0       400.0       205.0       
4       10.0        25.2        0.0         93.5        200.0       130.2       
5       10.0        28.3        0.0         78.9        200.0       106.7       
6       10.0        26.4        0.0         89.4        200.0       120.1       
7       20.0        65.9        200.0       215.7       0.0         133.4       
8       20.0        64.3        200.0       245.9       0.0         195.0       
9       20.0        44.7        200.0       276.5       0.0         208.1       
10      50.0        42.8        100.0       189.3       400.0       143.0       
11      50.0        49.2        100.0       238.2       400.0       198.8       
12      50.0        34.1        100.0       250.0       400.0       217.7       
13      100.0       83.2        400.0       278.2       100.0       215.1       
14      100.0       43.3        400.0       236.4       100.0       223.3       
15      100.0       31.1        400.0       237.2       100.0       214.3       
