Trial:          743
Mean RMSE:      99.2520 µM
RMSE DA:        21.7193 µM
RMSE AA:        113.0609 µM
RMSE UA:        162.9759 µM
Selected tests: cagc
N features:     1
Train conds:    [1, 2, 4, 6, 7, 8, 9, 10, 12, 13, 15, 16, 17, 18, 19, 21, 22, 23, 24]
Test conds:     [3, 5, 11, 14, 20]
Epoch floor:    100000
Actual epochs:  1400000 (extended)
Patience:       100 val-checks

Features:
  cagc_CE_1s

Predictions vs targets (test set):
Sample  DA_true     DA_pred     AA_true     AA_pred     UA_true     UA_pred     
--------------------------------------------------------------------------------
1       5.0         41.5        200.0       229.2       400.0       167.0       
2       5.0         29.2        200.0       199.9       400.0       142.7       
3       5.0         25.7        200.0       159.3       400.0       141.1       
4       10.0        12.3        0.0         124.7       200.0       101.4       
5       10.0        17.6        0.0         117.5       200.0       127.7       
6       10.0        12.5        0.0         127.5       200.0       103.8       
7       20.0        12.5        200.0       127.0       0.0         103.3       
8       20.0        27.8        200.0       183.3       0.0         142.0       
9       20.0        29.1        200.0       198.4       0.0         142.6       
10      50.0        69.7        100.0       219.1       400.0       239.3       
11      50.0        68.2        100.0       221.3       400.0       235.2       
12      50.0        64.0        100.0       227.8       400.0       223.3       
13      100.0       74.6        400.0       211.7       100.0       253.0       
14      100.0       64.7        400.0       226.7       100.0       225.3       
15      100.0       59.3        400.0       234.8       100.0       210.3       
