Trial:          749
Mean RMSE:      114.6370 µM
RMSE DA:        34.3291 µM
RMSE AA:        131.7912 µM
RMSE UA:        177.7907 µM
Selected tests: cv, ca
N features:     4
Train conds:    [1, 2, 4, 6, 7, 8, 9, 10, 12, 13, 15, 16, 17, 18, 19, 21, 22, 23, 24]
Test conds:     [3, 5, 11, 14, 20]
Epoch floor:    100000
Actual epochs:  276400 (extended)
Patience:       100 val-checks

Features:
  ca_Iss_I0
  ca_cott_slope
  ca_Q_late
  ca_Q_late_early

Predictions vs targets (test set):
Sample  DA_true     DA_pred     AA_true     AA_pred     UA_true     UA_pred     
--------------------------------------------------------------------------------
1       5.0         6.1         200.0       380.8       400.0       209.3       
2       5.0         18.0        200.0       191.2       400.0       150.5       
3       5.0         5.5         200.0       247.4       400.0       158.2       
4       10.0        25.8        0.0         147.4       200.0       106.8       
5       10.0        22.6        0.0         156.8       200.0       89.6        
6       10.0        22.7        0.0         156.4       200.0       90.4        
7       20.0        84.7        200.0       158.8       0.0         200.3       
8       20.0        75.1        200.0       153.3       0.0         208.4       
9       20.0        59.6        200.0       191.8       0.0         282.7       
10      50.0        71.1        100.0       93.6        400.0       227.9       
11      50.0        54.9        100.0       162.1       400.0       216.9       
12      50.0        33.7        100.0       245.5       400.0       244.4       
13      100.0       63.0        400.0       248.8       100.0       195.9       
14      100.0       53.6        400.0       152.1       100.0       208.0       
15      100.0       37.7        400.0       196.5       100.0       211.6       
