Trial:          766
Mean RMSE:      101.2802 µM
RMSE DA:        25.8178 µM
RMSE AA:        116.3348 µM
RMSE UA:        161.6880 µM
Selected tests: cagc
N features:     2
Train conds:    [1, 2, 4, 6, 7, 8, 9, 10, 12, 13, 15, 16, 17, 18, 19, 21, 22, 23, 24]
Test conds:     [3, 5, 11, 14, 20]
Epoch floor:    100000
Actual epochs:  934200 (extended)
Patience:       100 val-checks

Features:
  cagc_CE_1s
  cagc_CE_10s

Predictions vs targets (test set):
Sample  DA_true     DA_pred     AA_true     AA_pred     UA_true     UA_pred     
--------------------------------------------------------------------------------
1       5.0         53.1        200.0       217.3       400.0       194.1       
2       5.0         38.1        200.0       165.3       400.0       172.1       
3       5.0         32.5        200.0       154.2       400.0       160.7       
4       10.0        15.9        0.0         127.3       200.0       122.5       
5       10.0        11.2        0.0         149.1       200.0       103.3       
6       10.0        12.6        0.0         140.6       200.0       102.6       
7       20.0        18.7        200.0       141.1       0.0         116.5       
8       20.0        41.2        200.0       186.6       0.0         172.7       
9       20.0        43.5        200.0       191.8       0.0         177.1       
10      50.0        62.9        100.0       241.8       400.0       219.6       
11      50.0        63.5        100.0       246.9       400.0       220.1       
12      50.0        61.8        100.0       242.2       400.0       215.2       
13      100.0       67.4        400.0       261.6       100.0       230.7       
14      100.0       61.3        400.0       238.0       100.0       214.8       
15      100.0       58.4        400.0       226.3       100.0       207.8       
